"band1","band2","band3","band4","band5","band6"
0.4132,0.5215,0,0.9726,0.9962,0.9934
0.3292,0.4674,0,0.9711,0.9932,0.9928
0.2447,0.4131,0,0.9697,0.9896,0.9925
0.1369,0.3586,0,0.9674,0.9859,0.9919
0.1054,0.3038,0,0.9651,0.974,0.9913
0.0945,0.2487,0,0.9627,0.9821,0.9907
0.0834,0.2057,0,0.9604,0.9784,0.9901
0.0723,0.181,0,0.9591,0.9746,0.9895
0.0612,0.1562,0,0.9589,0.9709,0.9886
0.0554,0.1313,0,0.9587,0.9671,0.9882
0.052,0.1078,0,0.9599,0.9634,0.9811
0.0485,0.0973,0,0.961,0.9597,0.9749
0.045,0.0868,0,0.9621,0.9559,0.9625
0.0415,0.0763,0,0.9632,0.9541,0.9548
0.038,0.0657,0,0.9643,0.9526,0.9519
0.0344,0.055,0,0.9655,0.9504,0.949
0.0309,0.0518,0,0.9666,0.9489,0.946
0.0273,0.0486,0,0.9677,0.9505,0.9431
0.0237,0.0454,0,0.9653,0.9572,0.9397
0.0215,0.0422,0,0.9626,0.9638,0.9377
0.0192,0.039,0,0.9599,0.9635,0.9339
0.017,0.0357,0,0.9549,0.9614,0.93
0.0147,0.0207,0,0.9499,0.957,0.9261
0.0125,0.0114,0,0.9449,0.9483,0.9223
0.011,0.0057,0,0.94,0.9397,0.9211
0.0098,0,0,0.935,0.9197,0.9198
0.0086,0,0,0.929,0.8978,0.9186
0.0073,0,0,0.9218,0.8679,0.9174
0.0061,0,0,0.9147,0.8235,0.9168
0.0059,0,0,0.9077,0.779,0.9153
0.0057,0,0,0.9006,0.7234,0.9136
0.0055,0,0,0.8936,0.6658,0.9119
0,0,0,0.8866,0.6072,0.9102
0,0,0,0.8796,0.5466,0.9077
0,0,0,0.8726,0.486,0.9045
0,0,0,0.8657,0.4245,0.9012
0,0,0,0.8648,0.3647,0.8996
0,0,0,0.864,0.3134,0.8964
0,0,0,0.8577,0.2792,0.8932
0,0,0,0.846,0.245,0.89
0,0,0,0.8344,0.2108,0.8764
0,0,0,0.8229,0.1767,0.8627
0,0,0,0.8114,0.1488,0.8492
0,0,0,0.8,0.1327,0.8357
0,0,0,0.7889,0.1167,0.8222
0,0,0,0.7786,0.1007,0.8092
0,0,0,0.7333,0.0847,0.8027
0,0,0,0.6882,0.0723,0.7896
0,0,0,0.6434,0.0661,0.7767
0,0,0,0.5785,0.0599,0.7637
0,0,0,0.509,0.0446,0.7514
0,0,0,0.44,0.0333,0.7396
0,0,0,0.3714,0.0224,0.7278
0,0,0,0.3211,0.0164,0.7279
0,0,0,0.2755,0.0109,0.7407
0,0,0,0.2303,0.0073,0.7471
0,0,0,0.1853,0.0037,0.76
0,0,0,0.1557,1e-04,0.7721
0,0,0,0.1301,0,0.7841
0,0,0,0.1047,0,0.7962
0,0,0,0.084,0,0.8083
0,0,0,0.0341,0,0.83
0,0,0,0.0167,0,0.8408
0,0,0,0.0081,0,0.8572
0,0,0,0.0059,0,0.8683
0,0,0,0.0038,0,0.874
0,0,0,0.0015,0,0.8745
0,0,0,0,0,0.8678
0,0,0,0,0,0.854
0,0,0,0,0,0.8188
0,0,0,0,0,0.748
0,0,0,0,0,0.6947
0,0,0,0,0,0.6424
0,0,0,0,0,0.5899
0,0,0,0,0,0.5372
0,0,0,0,0,0.4844
0,0,0,0,0,0.4313
0,0,0,0,0,0.3864
0,0,0,0,0,0.3415
0,0,0,0,0,0.3189
0,0,0,0,0,0.2738
0,0,0,0,0,0.2286
0,0,0,0,0,0.193
0,0,0,0,0,0.1672
0,0,0,0,0,0.1413
0,0,0,0,0,0.1153
0,0,0,0,0,0.0893
0,0,0,0,0,0.072
0,0,0,0,0,0.0633
0,0,0,0,0,0.059
0,0,0,0,0,0.0503
0,0,0,0,0,0.0416
0,0,0,0,0,0.0329
0,0,0,0,0,0.0285
0,0,0,0,0,0.0241
0,0,0,0,0,0.0197
0,0,0,0,0,0.011
0,0,0,0,0,0.0082
0,0,0,0,0,0.0055
