"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"a2P",0.00203419445908328,0.00190410570690193,0.00207945199932256,0.00205742327906033,0.00163359300474722,0.00147617357195183,0.00140791062265324,0.00208905313997791,0.00208328277838391,0.00207627046708059,0.00206562977671222,0.00205935469122404,0.00202661192275614,0.00202238770223381,0.00197593985297681,0.00189728680118546,0.00186565419689427,0.00183999266245053,0.00184005369277402,0.00155764349290491
"a3P",-9.89878545585545e-06,-9.06897998485852e-06,-1.02558901122829e-05,-1.0068199112314e-05,-7.4736241156091e-06,-6.66038891081985e-06,-6.69517832910207e-06,-1.03527871682207e-05,-1.02953838376235e-05,-1.02226484599615e-05,-1.01323019547275e-05,-1.00829225275449e-05,-9.84776649139318e-06,-9.81943206545389e-06,-9.52265588736148e-06,-9.02692248123829e-06,-8.84060085996849e-06,-8.68947570506845e-06,-8.68983470038451e-06,-7.02604563747931e-06
"a4P",1.8371504294231e-08,1.6435846879837e-08,1.93240876350647e-08,1.87974988714278e-08,1.29624710758713e-08,1.13315816307793e-08,1.19551468848645e-08,1.96137811963661e-08,1.94431567020204e-08,1.92233883772071e-08,1.89708397259324e-08,1.88360871594609e-08,1.82483892186717e-08,1.81800804586068e-08,1.7487034440255e-08,1.63403606738859e-08,1.59351645832701e-08,1.56065733851493e-08,1.56073606415747e-08,1.19888455698001e-08
"Rest1",-0.001901,-0.000166,-0.011777,-0.004851,0.000316,0,0,-0.020526,-0.014629,-0.009945,-0.006281,-0.005239,-0.001526,-0.001371,-0.00056,-0.000138,9.5e-05,0.000233,0.000228,0.000175
"Rest2",-0.010693,-0.003766,-0.027915,-0.017497,-0.000996,0,0,-0.0354,-0.030867,-0.025521,-0.020112,-0.018166,-0.009587,-0.00904,-0.006422,-0.003581,-0.003135,-0.002806,-0.002812,-0.000604
"Rest3",-0.011834,-0.005802,-0.019921,-0.016217,-0.001827,0,0,-0.020918,-0.020345,-0.019543,-0.017496,-0.016574,-0.010954,-0.010512,-0.008354,-0.005601,-0.005049,-0.004614,-0.004626,-0.001227
"Rest4",-0.003295,-0.002581,-0.002927,-0.003414,-0.002164,0,0,-0.002383,-0.002695,-0.003135,-0.00335,-0.003403,-0.003226,-0.003187,-0.003017,-0.002541,-0.00257,-0.00258,-0.002583,-0.001744
"Resr1",-0.000258,-1.9e-05,-0.005468,-0.001034,-5e-06,0,0,-0.015533,-0.008786,-0.003364,-0.001551,-0.001146,-0.000195,-0.000166,-7.5e-05,-1.8e-05,-1.4e-05,-1.1e-05,-1.1e-05,3e-06
"Resr2",-0.004836,-0.002808,0.006001,-0.0044,-0.000399,0,0,0.022571,0.012889,0.00016,-0.003481,-0.004258,-0.004643,-0.004567,-0.003824,-0.002697,-0.002583,-0.002444,-0.002438,-0.001962
"Resr3",0.026427,0.027333,0.021171,0.024695,0.003776,0,0,0.016522,0.019432,0.022125,0.023926,0.024405,0.026413,0.026554,0.028172,0.026682,0.030801,0.033201,0.033197,0.111994
"Resa1",-0.007136,-0.00365,-0.010784,-0.008764,-0.00121,-0.000427,-6.1e-05,-0.012007,-0.011268,-0.010395,-0.009389,-0.008918,-0.00676,-0.006559,-0.005202,-0.003533,-0.003131,-0.002833,-0.002837,-0.000862
"Resa2",-0.035708,-0.028648,-0.036115,-0.036201,-0.017353,-0.010944,-0.005162,-0.035179,-0.035676,-0.036542,-0.03652,-0.03626,-0.035304,-0.035063,-0.032466,-0.0283,-0.026748,-0.02553,-0.025542,-0.015013
"Resa3",-0.043664,-0.048974,-0.029811,-0.036518,-0.044933,-0.038658,-0.033816,-0.025183,-0.027737,-0.031767,-0.035022,-0.036037,-0.044773,-0.045344,-0.047239,-0.049063,-0.048747,-0.048441,-0.04845,-0.043247
"Resa4",-0.016587,-0.027544,-0.00768,-0.011503,-0.042579,-0.056607,-0.091494,-0.005665,-0.006755,-0.008586,-0.010442,-0.01118,-0.017685,-0.018294,-0.021867,-0.028067,-0.029609,-0.030898,-0.030893,-0.047429
