"","V1","V2","V3","V4","V5","V6"
"ah2o",0,-0.003865,-0.003783,-0.032967,-0.045352,-0.022353
"nh2o",0,0.755488,0.757385,0.552089,0.430355,0.64182
"ao3",-0.020295,-0.100516,-0.058332,-0.000111,0,0
"no3",0.994209,0.997283,0.993742,0.995465,0,0
"ao2",0,-1.5e-05,-0.009818,-0.002938,0,0
"no2",0,0.706041,0.483589,0.374627,0,0
"po2",0,1.495855,1.911879,2.240454,0,0
"aco2",0,0,0,0,-0.006847,-0.007226
"nco2",0,0,0,0,0.737542,0.546063
"pco2",0,0,0,0,1.361336,1.838079
"ach4",0,0,0,0,-0.005172,-0.030303
"nch4",0,0,0,0,0.903722,0.771309
"pch4",0,0,0,0,1.075718,1.210542
"ano2",0,0,0,0,0,-0.001344
"nno2",0,0,0,0,0,0.947494
"pno2",0,0,0,0,0,1.039214
"aco",0,0,0,0,0,0
"nco",0,0,0,0,0,0
"pco",0,0,0,0,0,0
"a0s",0.070646,0.04243,0.026206,0.011489,0.000794,2e-05
"a1s",0.184211,0.203877,0.205315,0.170257,0.070464,0.039598
"a2s",-0.073673,-0.078801,-0.078752,-0.065149,-0.021836,-0.009641
"a3s",0.058309,0.033041,0.019333,0.008573,0.000853,0.000218
"a0T",1.110499,1.107821,1.0988,1.076525,1.030467,1.017303
"a1T",-0.219499,-0.206872,-0.188557,-0.163487,-0.090005,-0.051929
"a2T",-0.135702,-0.078438,-0.046588,-0.02046,-0.001588,-0.00085
"a3T",-0.253641,-0.21919,-0.189434,-0.141278,-0.054178,-0.030378
"taur",0.165691,0.085743,0.0474,0.018256,0.001128,0.000367
"sr",0.127636,0.073063,0.042882,0.01738,0.001123,0.000367
"a0taup",5.551115e-17,-3.75e-07,1e-07,-1.5e-07,2.5e-08,-5e-08
"a1taup",1.14998,0.960042,0.809855,0.599925,0.246712,0.156464
"wo",0.899137,0.891518,0.88511,0.847957,0.753509,0.761712
"gc",0.640285,0.636101,0.632124,0.632041,0.662896,0.733556
"a0P",6.75434810021498,6.76026203380287,6.74755289721515,6.56119493234511,5.38928892080849,4.59406931064747
"a1P",-0.189898921298094,-0.188990935251544,-0.187674888670973,-0.179976319714598,-0.143585957882354,-0.128865086942804
"a2P",0.0020762398711317,0.00205380425530671,0.0020291323899994,0.00191557268211236,0.00147157083706539,0.00139169415664512
"a3P",-1.02241889938645e-05,-1.00414945464693e-05,-9.86492366454419e-06,-9.14294105380171e-06,-6.67600159906188e-06,-6.65390762018665e-06
"a4P",1.92302845243991e-08,1.87309102395776e-08,1.82900727897335e-08,1.66103130469541e-08,1.14180787051293e-08,1.19365844334037e-08
"Rest1",-0.010055,-0.00414,-0.001691,-0.000187,-0.000137,-0.000184
"Rest2",-0.025743,-0.016267,-0.010062,-0.004289,-0.000333,-0.000405
"Rest3",-0.019539,-0.015586,-0.011375,-0.00639,-0.000619,-0.001358
"Rest4",-0.0031,-0.003445,-0.003273,-0.002752,-0.000525,0.002235
"Resr1",-0.003906,-0.000871,-0.000222,-3.2e-05,-4.9e-05,-1.4e-05
"Resr2",0.002521,-0.004365,-0.004747,-0.002925,-0.033127,-0.03542
"Resr3",0.022362,0.025816,0.026775,0.027937,8.819292,25.16865
"Resa1",-0.01039,-0.008452,-0.006891,-0.003904,-0.000391,-4.4e-05
"Resa2",-0.036355,-0.036113,-0.035415,-0.029256,-0.010428,-0.004721
"Resa3",-0.031429,-0.037779,-0.044294,-0.048581,-0.038734,-0.034866
"Resa4",-0.00846,-0.012324,-0.017244,-0.026355,-0.059472,-0.101317
