"wave","EIrrad"
400,1.69
401,1.72926942034347
402,1.80999582688911
403,1.74009196458354
404,1.73999856453641
405,1.68998467638208
406,1.64546298350891
407,2.10802992579895
408,2.02605136978215
409,2.07771859861462
410,1.85717543831762
411,1.90508136601239
412,0.821544746687124
413,1.89089552236069
414,2.01968644917388
415,2.04703295470581
416,1.49815660293357
417,2.01258694028797
418,1.56180247574193
419,1.28083412975438
420,1.73869588907492
421,2.06665676281855
422,1.69847791532931
423,2.02859234555273
424,0.952819506682625
425,1.50045581751073
426,1.71722178772245
427,1.62143044265046
428,1.88123473667705
429,1.48089168252305
430,0.812516204790499
431,1.49671499462641
432,1.56775757103294
433,2.0867278549469
434,1.45308693384736
435,1.98506471850961
436,1.38947141613889
437,2.14224994316445
438,2.14608017778371
439,1.701759379171
440,1.92900002278602
441,2.12065616599836
442,2.12658140927161
443,2.1492285368657
444,2.33922908672734
445,2.33861960865033
446,2.19558984353024
447,2.06867996216581
448,2.21674108833134
449,2.20104979279048
450,1.89522033889227
451,2.19674867785534
452,2.13098006272362
453,0.833138262089469
454,1.84259371977867
455,1.68249539206618
456,1.63355372674516
457,1.81385471142029
458,1.97774805775625
459,2.17536709265659
460,2.12848363056726
461,2.23920474759508
462,1.64681372227686
463,2.21118244773501
464,2.18166191927034
465,1.56942220592863
466,2.127401033814
467,1.93800918641341
468,1.67325472553708
469,1.97207658967825
470,1.55906269719223
471,1.92735837774801
472,2.08831717464902
473,1.74629293210015
474,2.2286780857009
475,2.16671900800155
476,2.09684049207453
477,1.98076590791445
478,2.22012429197249
479,1.90801750733624
480,1.83673016372229
481,1.69240955011159
482,2.19458181234025
483,2.10331077354201
484,1.62683066654073
485,2.03023372350799
486,1.84083110664246
487,2.03551071123074
488,2.11246568038354
489,1.42122207207041
490,2.10176280576278
491,2.09671226486145
492,1.65732148556637
493,2.16542688292314
494,1.85878097752254
495,2.12920870114609
496,2.08194153624858
497,1.65647209177708
498,1.49871789454542
499,2.17191674744262
500,2.14
501,2.03168841253744
502,1.48115923450592
503,2.09698958873942
504,1.61447067592671
505,1.83765606380747
506,2.05469327698442
507,1.80175433981554
508,2.04518928665935
509,2.01651848023737
510,1.29528586038451
511,2.01734150969581
512,2.12155686141386
513,2.00547571167392
514,1.98576260760577
515,2.01076049484593
516,1.97017489769958
517,1.60727941381557
518,2.02233123305034
519,1.66007111996078
520,1.82802928750796
521,0.687689903036247
