"band1","band2","band3","band4","band5","band6"
410,500,580,730,1514,2000
411,501,590,735,1515,2001
412,502,600,740,1517,2003
413,503,605,745,1519,2005
414,504,610,750,1521,2007
415,505,611,751,1523,2009
416,506,612,752,1525,2011
417,507,613,753,1526,2013
418,508,614,754,1528,2015
419,509,615,755,1530,2017
420,510,616,756,1532,2018
421,511,617,757,1534,2020
422,512,618,758,1536,2022
423,513,619,759,1538,2024
424,514,620,760,1540,2026
425,515,621,761,1542,2028
426,516,622,762,1543,2030
427,517,623,763,1545,2032
428,518,624,764,1547,2034
429,519,625,765,1549,2035
430,520,626,766,1551,2037
431,521,627,767,1553,2039
432,522,628,768,1555,2041
433,523,629,769,1557,2043
434,524,630,770,1559,2045
435,525,631,771,1561,2047
436,526,632,772,1563,2049
437,527,633,773,1565,2051
438,528,634,774,1567,2052
439,529,635,775,1569,2054
440,530,636,776,1571,2056
441,531,637,777,1572,2058
442,532,638,778,1574,2060
443,533,639,779,1576,2062
444,534,640,780,1578,2064
445,535,641,781,1580,2066
446,536,642,782,1582,2067
447,537,643,783,1584,2069
448,538,644,784,1586,2071
449,539,645,785,1588,2073
450,540,646,786,1590,2075
451,541,647,787,1592,2077
452,542,648,788,1594,2079
453,543,649,789,1596,2081
454,544,650,790,1598,2083
455,545,651,791,1600,2085
456,546,652,792,1602,2086
457,547,653,793,1604,2088
458,548,654,794,1606,2090
459,549,655,795,1608,2092
460,550,656,796,1610,2094
461,551,657,797,1613,2096
462,552,658,798,1615,2099
463,553,659,799,1617,2100
464,554,660,800,1619,2102
465,555,661,801,1621,2104
466,556,662,802,1623,2106
467,557,663,803,1625,2108
468,558,664,804,1627,2110
469,559,665,805,1629,2112
470,560,666,806,1631,2114
471,561,667,807,1633,2116
472,562,668,808,1635,2117
473,563,669,809,1637,2119
474,564,670,810,1639,2121
475,565,671,811,1641,2123
476,566,672,812,1643,2125
477,567,673,813,1645,2127
478,568,674,814,1647,2129
479,569,675,815,1649,2131
480,570,676,816,1651,2133
481,571,677,817,1653,2135
482,572,678,818,1656,2136
483,573,679,819,1658,2138
484,574,680,820,1660,2140
485,575,681,821,1662,2142
486,576,682,822,1664,2144
487,577,683,823,1666,2146
488,578,684,824,1668,2148
489,579,685,825,1670,2150
490,580,686,826,1672,2151
491,581,687,827,1674,2153
492,582,688,828,1676,2155
493,583,689,829,1678,2157
494,584,690,830,1680,2159
495,585,691,831,1682,2161
496,586,692,832,1684,2163
497,587,693,833,1687,2165
498,588,694,834,1689,2166
499,589,695,835,1691,2168
500,590,696,836,1693,2170
501,591,697,837,1695,2172
502,592,698,838,1697,2174
503,593,699,839,1699,2176
504,594,700,840,1701,2178
505,595,701,841,1703,2180
506,596,702,842,1705,2182
507,597,703,843,1707,2183
508,598,704,844,1709,2185
509,599,705,845,1711,2187
510,600,710,846,1714,2189
511,601,715,847,1716,2191
512,602,720,848,1718,2193
513,603,725,849,1720,2195
514,604,730,850,1722,2197
515,605,740,851,1724,2199
516,606,nan,852,1725,2201
517,607,nan,853,1726,2203
518,608,nan,854,1728,2205
519,609,nan,855,1730,2207
520,610,nan,856,1732,2209
521,611,nan,857,1734,2210
522,612,nan,858,1736,2212
523,613,nan,859,1738,2214
nan,614,nan,860,1740,2216
nan,615,nan,861,1742,2218
nan,616,nan,862,1744,2220
nan,617,nan,863,1747,2222
nan,618,nan,864,1749,2223
nan,619,nan,865,1751,2226
nan,620,nan,866,1753,2227
nan,621,nan,867,1755,2229
nan,622,nan,868,1757,2231
nan,623,nan,869,1759,2233
nan,624,nan,870,1761,2235
nan,625,nan,871,1763,2237
nan,626,nan,872,1765,2239
nan,627,nan,873,1767,2241
nan,628,nan,874,1769,2242
nan,629,nan,875,1771,2244
nan,630,nan,876,1773,2246
nan,635,nan,877,1775,2248
nan,640,nan,878,1777,2250
nan,645,nan,879,1779,2252
nan,650,nan,880,1781,2254
nan,nan,nan,881,1783,2256
nan,nan,nan,882,1785,2258
nan,nan,nan,883,1787,2259
nan,nan,nan,884,1789,2261
nan,nan,nan,885,1791,2263
nan,nan,nan,886,1793,2265
nan,nan,nan,887,1795,2267
nan,nan,nan,888,1797,2269
nan,nan,nan,889,1799,2271
nan,nan,nan,890,1801,2273
nan,nan,nan,891,1803,2274
nan,nan,nan,892,1805,2276
nan,nan,nan,893,1807,2278
nan,nan,nan,894,1809,2280
nan,nan,nan,895,1811,2282
nan,nan,nan,896,1813,2284
nan,nan,nan,897,1815,2286
nan,nan,nan,898,1820,2288
nan,nan,nan,899,1825,2290
