"wavelength","Refrac_leafm","SC_chl","SC_car","SC_Anth","SC_Brwon","SC_Cw","SC_Cm","direct_light","diffuse_light","dry_soil","wet_soil"
400,1.5115,0.0649,0.167,0.0667,0.527,5.8e-05,110,0.591,2.41,0.238,0.0321
401,1.5115,0.0667,0.168,0.0641,0.526,5.85e-05,104,0.598,2.41,0.237,0.032
402,1.5115,0.0686,0.167,0.0619,0.525,5.9e-05,98,0.605,2.41,0.237,0.0318
403,1.5115,0.07,0.167,0.0599,0.524,5.99e-05,92.4,0.612,2.41,0.237,0.0317
404,1.5115,0.0709,0.168,0.0583,0.523,6.1e-05,87.1,0.619,2.41,0.236,0.0315
405,1.5115,0.0713,0.168,0.0567,0.522,6.2e-05,82.3,0.626,2.42,0.236,0.0314
406,1.5108,0.0713,0.168,0.0554,0.521,6.3e-05,78.1,0.633,2.42,0.235,0.0313
407,1.5101,0.0713,0.167,0.0542,0.52,6.4e-05,74,0.64,2.42,0.235,0.0311
408,1.5095,0.0712,0.167,0.0531,0.519,6.5e-05,70.1,0.647,2.42,0.234,0.0309
409,1.5088,0.0712,0.167,0.052,0.518,6.6e-05,66.5,0.654,2.42,0.234,0.0308
410,1.5081,0.0715,0.166,0.051,0.517,6.7e-05,63,0.661,2.42,0.234,0.0306
411,1.5076,0.0719,0.166,0.0501,0.516,6.79e-05,59.5,0.668,2.42,0.233,0.0304
412,1.5071,0.072,0.165,0.0494,0.515,6.9e-05,56.2,0.675,2.42,0.233,0.0303
413,1.5065,0.0718,0.166,0.0486,0.514,7.05e-05,53,0.682,2.42,0.232,0.0301
414,1.506,0.0715,0.166,0.0479,0.513,7.2e-05,50,0.689,2.42,0.232,0.03
415,1.5055,0.0711,0.166,0.0474,0.512,7.31e-05,47.2,0.696,2.42,0.232,0.0298
416,1.505,0.0708,0.166,0.0469,0.511,7.4e-05,44.6,0.703,2.42,0.231,0.0297
417,1.5046,0.0704,0.166,0.0465,0.51,7.49e-05,42.2,0.71,2.42,0.231,0.0296
418,1.5041,0.0701,0.167,0.0462,0.509,7.6e-05,40,0.717,2.42,0.23,0.0295
419,1.5037,0.0698,0.167,0.0458,0.508,7.74e-05,37.8,0.724,2.42,0.23,0.0293
420,1.5032,0.0698,0.167,0.0454,0.507,7.9e-05,35.7,0.731,2.42,0.23,0.0292
421,1.5029,0.0701,0.168,0.0451,0.506,8.06e-05,33.6,0.738,2.42,0.229,0.0291
422,1.5026,0.0703,0.168,0.0448,0.505,8.2e-05,31.7,0.744,2.42,0.228,0.029
423,1.5022,0.0705,0.168,0.0445,0.504,8.3e-05,29.9,0.751,2.42,0.228,0.0289
424,1.5019,0.0705,0.169,0.0442,0.503,8.4e-05,28.3,0.757,2.42,0.227,0.0288
425,1.5016,0.0705,0.168,0.0441,0.502,8.55e-05,26.8,0.764,2.41,0.227,0.0287
426,1.5013,0.0708,0.168,0.044,0.501,8.7e-05,25.4,0.771,2.41,0.226,0.0285
427,1.501,0.0713,0.168,0.0439,0.5,8.8e-05,24,0.777,2.41,0.226,0.0284
428,1.5008,0.0716,0.168,0.0438,0.499,8.9e-05,22.8,0.784,2.41,0.225,0.0283
429,1.5005,0.0719,0.167,0.0439,0.498,9.05e-05,21.5,0.79,2.41,0.225,0.0282
430,1.5002,0.0724,0.168,0.0439,0.497,9.2e-05,20.2,0.797,2.41,0.225,0.0281
431,1.5,0.0731,0.168,0.0439,0.496,9.3e-05,19,0.804,2.41,0.224,0.0279
432,1.4997,0.0737,0.168,0.044,0.495,9.4e-05,17.9,0.81,2.41,0.224,0.0278
433,1.4995,0.074,0.168,0.044,0.494,9.55e-05,16.8,0.817,2.41,0.224,0.0276
434,1.4992,0.0743,0.168,0.0441,0.492,9.7e-05,15.8,0.823,2.41,0.223,0.0275
435,1.499,0.0745,0.168,0.0442,0.491,9.8e-05,14.8,0.83,2.41,0.223,0.0274
436,1.4988,0.0747,0.168,0.0443,0.49,9.9e-05,13.9,0.837,2.4,0.223,0.0272
437,1.4986,0.0747,0.168,0.0444,0.489,0.000101,13.1,0.843,2.4,0.222,0.0271
438,1.4984,0.0746,0.169,0.0445,0.488,0.000102,12.3,0.85,2.4,0.222,0.0269
439,1.4982,0.0743,0.169,0.0446,0.486,0.000103,11.6,0.856,2.4,0.222,0.0268
440,1.498,0.0738,0.17,0.0448,0.485,0.000104,11,0.863,2.4,0.222,0.0266
441,1.4977,0.0728,0.17,0.0449,0.484,0.000105,10.4,0.874,2.41,0.222,0.0265
442,1.4974,0.0716,0.17,0.0451,0.483,0.000106,9.92,0.886,2.42,0.222,0.0263
443,1.4972,0.0705,0.17,0.0452,0.482,0.000107,9.41,0.897,2.44,0.222,0.0262
444,1.4969,0.0691,0.17,0.0454,0.481,0.000108,8.95,0.908,2.45,0.222,0.026
445,1.4966,0.0676,0.17,0.0456,0.479,0.000109,8.51,0.92,2.46,0.221,0.0259
446,1.4964,0.066,0.17,0.0458,0.478,0.00011,8.09,0.931,2.47,0.222,0.0258
447,1.4962,0.0645,0.17,0.0459,0.477,0.000111,7.64,0.942,2.48,0.222,0.0257
448,1.4959,0.0627,0.169,0.046,0.476,0.000112,7.27,0.953,2.49,0.222,0.0255
449,1.4957,0.0608,0.169,0.0462,0.475,0.000113,6.94,0.965,2.51,0.222,0.0254
450,1.4955,0.0588,0.167,0.0464,0.473,0.000114,6.66,0.976,2.52,0.222,0.0253
451,1.4953,0.0568,0.166,0.0467,0.472,0.000115,6.42,0.987,2.53,0.222,0.0252
452,1.4951,0.0547,0.164,0.047,0.471,0.000116,6.22,0.999,2.54,0.222,0.0252
453,1.4949,0.0528,0.163,0.0472,0.47,0.000117,6.01,1.01,2.55,0.222,0.0251
454,1.4947,0.0511,0.161,0.0474,0.468,0.000118,5.78,1.02,2.57,0.222,0.0251
455,1.4945,0.0496,0.16,0.0476,0.467,0.000119,5.57,1.03,2.58,0.222,0.025
456,1.4943,0.0481,0.158,0.0478,0.466,0.00012,5.37,1.04,2.59,0.222,0.025
457,1.4942,0.0468,0.157,0.0481,0.465,0.000121,5.17,1.06,2.6,0.222,0.025
458,1.494,0.0456,0.155,0.0483,0.463,0.000122,4.95,1.07,2.61,0.223,0.025
459,1.4939,0.0447,0.153,0.0486,0.462,0.000123,4.76,1.08,2.62,0.223,0.025
460,1.4937,0.0439,0.152,0.0488,0.461,0.000124,4.58,1.09,2.64,0.223,0.025
461,1.4935,0.0432,0.15,0.0491,0.46,0.000125,4.42,1.09,2.63,0.223,0.025
462,1.4934,0.0427,0.148,0.0494,0.459,0.000126,4.26,1.1,2.63,0.223,0.025
463,1.4932,0.0422,0.147,0.0496,0.458,0.000127,4.12,1.11,2.63,0.223,0.025
464,1.4931,0.0418,0.145,0.0498,0.457,0.000128,4.01,1.11,2.63,0.223,0.025
465,1.4929,0.0413,0.143,0.0501,0.456,0.000129,3.95,1.12,2.63,0.224,0.025
466,1.4928,0.0409,0.142,0.0504,0.455,0.00013,3.85,1.12,2.62,0.224,0.025
467,1.4927,0.0406,0.141,0.0508,0.454,0.000132,3.78,1.13,2.62,0.224,0.025
468,1.4925,0.0403,0.139,0.0511,0.453,0.000133,3.67,1.13,2.62,0.224,0.025
469,1.4924,0.04,0.138,0.0516,0.452,0.000134,3.55,1.14,2.62,0.224,0.025
470,1.4923,0.0397,0.137,0.0519,0.45,0.000135,3.46,1.14,2.62,0.225,0.025
471,1.4922,0.0395,0.136,0.0524,0.449,0.000136,3.36,1.15,2.61,0.225,0.025
472,1.492,0.0393,0.135,0.0528,0.448,0.000138,3.28,1.15,2.61,0.225,0.025
473,1.4919,0.039,0.135,0.0534,0.447,0.00014,3.18,1.16,2.61,0.225,0.025
474,1.4917,0.0388,0.135,0.054,0.446,0.000141,3.1,1.16,2.61,0.225,0.025
475,1.4916,0.0385,0.134,0.0545,0.445,0.000142,3.05,1.17,2.61,0.226,0.025
476,1.4915,0.0383,0.134,0.0549,0.444,0.000144,2.98,1.17,2.6,0.226,0.0248
477,1.4914,0.0379,0.134,0.0555,0.443,0.000146,2.95,1.18,2.6,0.226,0.0247
478,1.4912,0.0375,0.134,0.0562,0.442,0.000148,2.91,1.18,2.6,0.226,0.0245
479,1.4911,0.0371,0.134,0.0566,0.441,0.00015,2.87,1.19,2.6,0.226,0.0244
480,1.491,0.0368,0.133,0.0572,0.44,0.000152,2.8,1.2,2.59,0.227,0.0242
481,1.4909,0.0363,0.133,0.0577,0.439,0.000154,2.78,1.19,2.58,0.227,0.0242
482,1.4907,0.0358,0.132,0.0583,0.438,0.000157,2.75,1.19,2.57,0.227,0.0242
483,1.4906,0.0352,0.131,0.0588,0.436,0.00016,2.73,1.19,2.55,0.227,0.0242
484,1.4904,0.0346,0.13,0.0595,0.435,0.000162,2.7,1.19,2.54,0.228,0.0242
485,1.4903,0.0339,0.129,0.0601,0.434,0.000164,2.68,1.19,2.52,0.228,0.0242
486,1.4902,0.0332,0.128,0.0607,0.432,0.000167,2.66,1.19,2.51,0.228,0.0242
487,1.49,0.0324,0.126,0.0612,0.431,0.00017,2.63,1.19,2.49,0.228,0.0242
488,1.4899,0.0315,0.125,0.0618,0.43,0.000174,2.61,1.19,2.48,0.229,0.0242
489,1.4897,0.0306,0.123,0.0624,0.429,0.000178,2.59,1.19,2.46,0.229,0.0242
490,1.4896,0.0297,0.121,0.0629,0.427,0.000181,2.57,1.19,2.45,0.229,0.0242
491,1.4895,0.0287,0.119,0.0634,0.426,0.000185,2.55,1.19,2.43,0.229,0.0245
492,1.4893,0.0277,0.117,0.064,0.425,0.000189,2.54,1.19,2.42,0.23,0.0248
493,1.4892,0.0266,0.114,0.0645,0.423,0.000193,2.52,1.19,2.4,0.23,0.0251
494,1.489,0.0256,0.112,0.065,0.422,0.000198,2.5,1.19,2.39,0.231,0.0254
495,1.4889,0.0245,0.11,0.0654,0.421,0.000203,2.49,1.18,2.37,0.231,0.0257
496,1.4887,0.0234,0.108,0.0659,0.42,0.000209,2.47,1.18,2.36,0.231,0.0257
497,1.4885,0.0223,0.106,0.0664,0.418,0.000216,2.46,1.18,2.35,0.232,0.0257
498,1.4884,0.0212,0.104,0.0669,0.417,0.000223,2.44,1.18,2.33,0.232,0.0257
499,1.4882,0.0201,0.101,0.0673,0.416,0.00023,2.43,1.18,2.32,0.233,0.0257
500,1.488,0.019,0.099,0.0678,0.414,0.000238,2.42,1.18,2.3,0.233,0.0256
501,1.4878,0.018,0.0967,0.0681,0.414,0.000246,2.41,1.18,2.29,0.234,0.0256
502,1.4876,0.0169,0.0945,0.0685,0.413,0.000255,2.39,1.18,2.28,0.235,0.0256
503,1.4875,0.0159,0.0922,0.0688,0.412,0.000264,2.38,1.18,2.27,0.235,0.0256
504,1.4873,0.0149,0.0899,0.0691,0.411,0.000273,2.37,1.18,2.26,0.236,0.0256
505,1.4871,0.014,0.0875,0.0694,0.41,0.000282,2.37,1.18,2.25,0.237,0.0256
506,1.4869,0.013,0.0852,0.0696,0.409,0.000291,2.36,1.18,2.23,0.237,0.0257
507,1.4867,0.0122,0.0829,0.0698,0.408,3e-04,2.35,1.18,2.22,0.238,0.0258
508,1.4865,0.0113,0.0806,0.0701,0.407,0.00031,2.34,1.18,2.21,0.238,0.0258
509,1.4863,0.0105,0.0783,0.0703,0.407,0.000319,2.33,1.18,2.2,0.239,0.0259
510,1.4861,0.0097,0.0759,0.0705,0.406,0.000329,2.33,1.18,2.19,0.239,0.026
511,1.4859,0.00895,0.0736,0.0707,0.405,0.000339,2.32,1.18,2.18,0.24,0.026
512,1.4856,0.00825,0.0713,0.0709,0.404,0.000349,2.32,1.18,2.17,0.24,0.026
513,1.4854,0.00758,0.069,0.071,0.403,0.000359,2.31,1.18,2.16,0.241,0.026
514,1.4851,0.00696,0.0667,0.0712,0.402,0.000368,2.31,1.18,2.15,0.241,0.026
515,1.4849,0.00639,0.0644,0.0713,0.401,0.000377,2.31,1.19,2.14,0.241,0.026
516,1.4846,0.00587,0.0622,0.0714,0.4,0.000386,2.3,1.19,2.12,0.242,0.026
517,1.4844,0.0054,0.0599,0.0715,0.399,0.000396,2.3,1.19,2.11,0.242,0.026
518,1.4841,0.00499,0.0576,0.0716,0.398,0.000404,2.3,1.19,2.1,0.243,0.026
519,1.4839,0.00463,0.0554,0.0716,0.397,0.000407,2.3,1.19,2.09,0.243,0.026
520,1.4836,0.00433,0.0532,0.0717,0.396,0.000409,2.3,1.19,2.08,0.244,0.026
521,1.4833,0.00409,0.051,0.0717,0.395,0.000414,2.3,1.19,2.08,0.244,0.026
522,1.483,0.00389,0.0489,0.0718,0.394,0.000416,2.3,1.2,2.07,0.245,0.026
523,1.4828,0.00374,0.0467,0.0718,0.393,0.000411,2.3,1.2,2.07,0.245,0.026
524,1.4825,0.00365,0.0446,0.0719,0.392,0.000409,2.3,1.2,2.07,0.246,0.026
525,1.4822,0.00361,0.0425,0.072,0.391,0.000418,2.3,1.21,2.06,0.246,0.026
526,1.4819,0.00362,0.0404,0.0721,0.391,0.000427,2.3,1.21,2.06,0.247,0.0259
527,1.4816,0.00367,0.0384,0.0722,0.39,0.000427,2.3,1.22,2.06,0.247,0.0259
528,1.4813,0.00377,0.0364,0.0722,0.389,0.000423,2.3,1.22,2.06,0.248,0.0259
529,1.481,0.0039,0.0344,0.0723,0.388,0.000424,2.3,1.23,2.05,0.248,0.0259
530,1.4807,0.00407,0.0325,0.0723,0.387,0.000429,2.3,1.23,2.05,0.249,0.0259
531,1.4804,0.00426,0.0306,0.0724,0.385,0.000437,2.3,1.24,2.05,0.249,0.0259
532,1.4801,0.00448,0.0288,0.0725,0.382,0.000445,2.3,1.24,2.04,0.25,0.0259
533,1.4797,0.00473,0.027,0.0725,0.38,0.000451,2.3,1.25,2.04,0.25,0.0259
534,1.4794,0.00499,0.0252,0.0725,0.378,0.000456,2.3,1.25,2.04,0.251,0.0259
535,1.4791,0.00527,0.0235,0.0725,0.376,0.000463,2.3,1.25,2.03,0.251,0.0259
536,1.4788,0.00556,0.0218,0.0725,0.374,0.00047,2.3,1.26,2.03,0.252,0.0261
537,1.4784,0.00587,0.0202,0.0724,0.372,0.000475,2.3,1.26,2.03,0.252,0.0264
538,1.4781,0.00617,0.0186,0.0723,0.37,0.00048,2.3,1.27,2.02,0.253,0.0266
539,1.4777,0.00648,0.0171,0.0722,0.368,0.000488,2.3,1.27,2.02,0.253,0.0268
540,1.4774,0.00679,0.0156,0.0721,0.365,0.000495,2.3,1.28,2.02,0.254,0.027
541,1.4771,0.00709,0.0142,0.0718,0.364,0.000498,2.3,1.28,2.01,0.254,0.027
542,1.4767,0.00739,0.0128,0.0716,0.363,0.000503,2.3,1.28,2,0.255,0.027
543,1.4764,0.00767,0.0115,0.0713,0.361,0.000514,2.3,1.28,2,0.255,0.027
544,1.476,0.00795,0.0103,0.0711,0.36,0.000527,2.3,1.28,1.99,0.256,0.027
545,1.4757,0.00821,0.0091,0.0707,0.358,0.000536,2.3,1.28,1.98,0.256,0.027
546,1.4753,0.00845,0.00798,0.0703,0.357,0.000544,2.3,1.29,1.98,0.257,0.0274
547,1.475,0.00868,0.00693,0.0698,0.355,0.000553,2.3,1.29,1.97,0.257,0.0277
548,1.4746,0.0089,0.00595,0.0694,0.354,0.000564,2.3,1.29,1.96,0.258,0.0281
549,1.4743,0.00911,0.00503,0.0688,0.353,0.000576,2.3,1.29,1.95,0.258,0.0284
550,1.4739,0.00931,0.00419,0.0681,0.351,0.000588,2.3,1.29,1.95,0.259,0.0288
551,1.4735,0.0095,0.00342,0.0674,0.35,6e-04,2.3,1.29,1.94,0.259,0.0288
552,1.4732,0.00968,0.00272,0.0667,0.349,0.000611,2.3,1.29,1.93,0.26,0.0288
553,1.4728,0.00986,0.00209,0.0659,0.348,0.000622,2.3,1.3,1.93,0.26,0.0288
554,1.4725,0.01,0.00155,0.0651,0.347,0.000631,2.3,1.3,1.92,0.261,0.0288
555,1.4721,0.0102,0.00108,0.0642,0.346,0.000639,2.3,1.3,1.91,0.261,0.0288
556,1.4717,0.0104,0.000698,0.0634,0.345,0.000646,2.3,1.3,1.9,0.262,0.0288
557,1.4713,0.0106,0.000395,0.0624,0.343,0.000652,2.3,1.3,1.9,0.263,0.0288
558,1.4709,0.0107,0.000177,0.0615,0.342,0.000658,2.3,1.3,1.89,0.263,0.0288
559,1.4705,0.0109,4.45e-05,0.0606,0.341,0.000665,2.3,1.31,1.88,0.264,0.0288
560,1.4701,0.011,2.13e-13,0.0597,0.34,0.000672,2.3,1.31,1.88,0.264,0.0288
561,1.4697,0.0112,0,0.0586,0.338,0.000679,2.3,1.31,1.87,0.265,0.0288
562,1.4693,0.0114,0,0.0576,0.337,0.000686,2.3,1.31,1.87,0.265,0.0288
563,1.4689,0.0116,0,0.0566,0.335,0.000692,2.3,1.31,1.86,0.266,0.0288
564,1.4685,0.0118,0,0.0555,0.333,0.000699,2.3,1.32,1.86,0.266,0.0288
565,1.4681,0.0121,0,0.0544,0.331,0.000708,2.3,1.32,1.85,0.266,0.0288
566,1.4677,0.0123,0,0.0532,0.329,0.000718,2.3,1.32,1.85,0.267,0.0288
567,1.4673,0.0126,0,0.0521,0.328,0.000726,2.3,1.33,1.84,0.267,0.0289
568,1.467,0.0129,0,0.0509,0.326,0.000734,2.3,1.33,1.84,0.268,0.029
569,1.4666,0.0133,0,0.0497,0.324,0.000746,2.3,1.33,1.83,0.268,0.0291
570,1.4662,0.0136,0,0.0485,0.322,0.000759,2.3,1.33,1.83,0.268,0.0291
571,1.4658,0.0139,0,0.0473,0.32,0.000773,2.3,1.34,1.82,0.269,0.0291
572,1.4654,0.0143,0,0.0462,0.318,0.000787,2.3,1.34,1.82,0.269,0.0291
573,1.4651,0.0147,0,0.045,0.316,0.000802,2.3,1.34,1.81,0.269,0.0291
574,1.4647,0.015,0,0.0439,0.314,0.000819,2.3,1.35,1.81,0.27,0.0291
575,1.4643,0.0154,0,0.0428,0.312,0.000839,2.3,1.35,1.81,0.27,0.0291
576,1.4639,0.0157,0,0.0417,0.31,0.000858,2.3,1.35,1.8,0.271,0.0292
577,1.4635,0.016,0,0.0406,0.308,0.000875,2.3,1.35,1.8,0.271,0.0293
578,1.4632,0.0163,0,0.0395,0.306,0.000896,2.3,1.36,1.79,0.272,0.0293
579,1.4628,0.0166,0,0.0385,0.304,0.000924,2.3,1.36,1.79,0.272,0.0294
580,1.4624,0.0169,0,0.0374,0.302,0.000952,2.3,1.36,1.78,0.273,0.0295
581,1.462,0.0172,0,0.0362,0.3,0.000975,2.3,1.36,1.77,0.273,0.0298
582,1.4616,0.0175,0,0.035,0.298,0.001,2.3,1.36,1.77,0.274,0.0301
