"wavelength","Refrac_leafm","SC_chl","SC_car","SC_Anth","SC_Brwon","SC_Cw","SC_Cm","direct_light","diffuse_light","dry_soil","wet_soil"
583,1.4613,0.0178,0,0.0339,0.296,0.00104,2.3,1.36,1.76,0.274,0.0303
584,1.4609,0.0181,0,0.0328,0.294,0.00108,2.3,1.36,1.75,0.275,0.0306
585,1.4605,0.0183,0,0.0317,0.292,0.00112,2.3,1.36,1.75,0.275,0.0309
586,1.4602,0.0186,0,0.0306,0.29,0.00116,2.3,1.36,1.74,0.276,0.0309
587,1.4598,0.0188,0,0.0296,0.288,0.0012,2.3,1.36,1.73,0.276,0.0309
588,1.4595,0.019,0,0.0287,0.286,0.00125,2.3,1.36,1.72,0.277,0.0309
589,1.4591,0.0192,0,0.0277,0.284,0.0013,2.3,1.36,1.72,0.277,0.0309
590,1.4588,0.0194,0,0.0268,0.282,0.00136,2.3,1.36,1.71,0.278,0.0309
591,1.4585,0.0196,0,0.026,0.28,0.00141,2.3,1.36,1.7,0.278,0.0309
592,1.4582,0.0198,0,0.0251,0.278,0.00146,2.3,1.36,1.7,0.279,0.0309
593,1.4579,0.0199,0,0.0243,0.277,0.00151,2.3,1.36,1.69,0.279,0.0309
594,1.4576,0.0201,0,0.0235,0.275,0.00157,2.3,1.36,1.68,0.28,0.0309
595,1.4573,0.0202,0,0.0227,0.273,0.00164,2.3,1.36,1.67,0.28,0.0309
596,1.457,0.0203,0,0.0219,0.271,0.0017,2.3,1.36,1.67,0.281,0.0309
597,1.4567,0.0205,0,0.0211,0.269,0.00176,2.3,1.36,1.66,0.281,0.0309
598,1.4565,0.0206,0,0.0203,0.267,0.00186,2.3,1.36,1.65,0.282,0.0309
599,1.4562,0.0207,0,0.0195,0.265,0.00204,2.3,1.35,1.65,0.282,0.0309
600,1.4559,0.0209,0,0.0187,0.264,0.00222,2.3,1.35,1.64,0.283,0.0309
601,1.4556,0.021,0,0.018,0.262,0.00232,2.3,1.36,1.64,0.283,0.031
602,1.4553,0.0212,0,0.0172,0.26,0.00237,2.3,1.36,1.63,0.284,0.0311
603,1.4551,0.0213,0,0.0166,0.258,0.0024,2.3,1.36,1.63,0.284,0.0312
