"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
0.999546173,0.931024626,0.835211024,0.698446797,6.91660419942645e-310,6.91660419943435e-310,6.91660419944226e-310,0.914683918,6.91660419945807e-310,6.91660419946597e-310,0.999440391,0.963892644,0.835658783
1,0.927547539,0.84875691,0.493502787,6.91660419953396e-310,6.91660419954186e-310,6.91660419954977e-310,0.893248878,6.91660419956558e-310,6.91660419957348e-310,0.996198129,0.973065345,0.866335142
0.976368067,0.916622744,0.866563551,0.276900547,6.91660419963672e-310,6.91660419964463e-310,6.91660419965253e-310,0.873037871,6.91660419966834e-310,6.91660419967625e-310,0.990856204,0.977057349,0.886329697
0.96404957,0.9060165,0.875196149,0.107781358,6.91660419974423e-310,6.91660419975213e-310,6.91660419976004e-310,0.852648452,6.91660419977585e-310,6.91660419978375e-310,0.984248642,0.977796293,0.897588245
0.95417544,0.897870416,0.87037822,0.029913795,6.916604199847e-310,6.9166041998549e-310,6.91660419986281e-310,0.836447483,6.91660419987862e-310,6.91660419989126e-310,0.977116358,0.976890332,0.901517855
0.923744832,0.903146598,0.857256926,0.007336673,6.9166041999545e-310,6.91660419996241e-310,6.91660419997031e-310,0.824300756,6.91660419998612e-310,6.91660419999403e-310,0.970164279,0.975338048,0.900790721
0.88548879,0.908994286,0.809749622,0.000838123,6.91660420005727e-310,6.91660420006517e-310,6.91660420007308e-310,0.814333379,6.91660420009363e-310,6.91660420010154e-310,0.963770069,0.973392995,0.897113531
0.809016274,0.920859439,0.677463956,6.91660420015687e-310,6.91660420016478e-310,6.91660420017268e-310,6.91660420018059e-310,0.810955964,6.9166042001964e-310,6.9166042002043e-310,0.957577366,0.971480798,0.892352598
0.601561144,0.924523699,0.456507841,6.91660420025964e-310,6.91660420026754e-310,6.91660420027545e-310,6.91660420028335e-310,0.803715941,6.91660420030391e-310,6.91660420031181e-310,0.951303557,0.969740168,0.88796428
0.306766029,0.918843658,0.247691784,6.91660420036715e-310,6.91660420037505e-310,6.91660420038296e-310,6.91660420039086e-310,0.791980175,6.91660420040667e-310,6.91660420041458e-310,0.945493586,0.969095034,0.884432193
0.108527711,0.907981319,0.127866254,6.91660420046991e-310,6.91660420047782e-310,6.91660420048572e-310,6.91660420049837e-310,0.783270185,6.91660420051418e-310,6.91660420052209e-310,0.940718335,0.96969742,0.882095059
0.030542088,0.898032665,0.059016809,6.91660420057742e-310,6.91660420058533e-310,6.91660420059323e-310,6.91660420060114e-310,0.767838865,6.91660420061695e-310,6.91660420062485e-310,0.937614311,0.970522078,0.881695748
0.008935131,0.88735796,0.025724357,6.91660420068019e-310,6.91660420068809e-310,6.91660420454576e-310,6.91660420455366e-310,0.754167357,6.91660420456947e-310,6.91660420457738e-310,0.936274454,0.972736269,0.88269782
6.916604204609e-310,0.873065866,0.005219158,6.91660420463271e-310,6.91660420464062e-310,6.91660420464852e-310,6.91660420465643e-310,0.742309406,6.91660420467224e-310,6.91660420468014e-310,0.935168115,0.976138953,0.887154405
6.91660420471176e-310,0.857761622,6.91660420472757e-310,6.91660420473548e-310,6.91660420434339e-310,6.91660420435129e-310,6.9166042043592e-310,0.727235815,6.91660420437501e-310,6.91660420438291e-310,0.930686598,0.978944681,0.892732955
6.91660420441453e-310,0.846132814,6.91660420443034e-310,6.91660420443825e-310,6.91660420444615e-310,6.91660420445406e-310,6.91660420446196e-310,0.719323269,6.91660420447777e-310,6.91660420448568e-310,0.916569659,0.981010782,0.898903582
6.9166042045173e-310,0.843382711,6.91660420453311e-310,6.91660420414102e-310,6.91660420414892e-310,6.91660420415683e-310,6.91660420416473e-310,0.713866399,6.91660420418054e-310,6.91660420418845e-310,0.885721386,0.983513536,0.905619271
6.91660420422007e-310,0.857924772,6.91660420423588e-310,6.91660420424378e-310,6.91660420425169e-310,6.91660420425959e-310,6.9166042042675e-310,0.718941021,6.91660420428331e-310,6.91660420429121e-310,0.831894981,0.984837133,0.912841006
6.91660420432283e-310,0.879320632,6.91660420393865e-310,6.91660420394655e-310,6.91660420395446e-310,6.91660420396236e-310,6.91660420397027e-310,0.726527917,6.91660420398608e-310,6.91660420399398e-310,0.749343254,0.984404132,0.920179789
