"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13","band14","band15","band16","band17","band18","band19","band20"
503.17,544.19,660,689.2,684.229,756.309,859.309,893.25,925.239,898.33,670.2,1387.6,843.39,492.179,569.19,1660,1700,2520,660,710
510,544.19,670,693.19,685.229,757.289,860.299,896.25,926.25,901.33,673.19,1388.6,845.39,493.2,570.179,1700,1740,2560,670,720
520,545.169,680,695.2,685.229,758.289,861.299,899.25,927.25,904.34,675.21,1389.6,848.38,495.2,571.19,1740,1780,2600,680,730
530,545.169,690,697.21,686.219,759.289,862.299,902.25,928.25,907.32,678.21,1390.6,850.38,496.2,572.19,1780,1820,2640,690,740
540,550,700,699.2,687.239,760.289,863.32,905.239,929.25,910.32,680.2,1391.6,853.369,497.2,573.19,1820,1860,2680,700,750
550,560,710,701.2,688.219,761.299,864.309,908.26,930.25,913.34,683.21,1392.6,855.39,498.2,574.179,1860,1900,2720,710,760
560,570,720,703.21,688.219,762.28,865.309,911.25,931.25,916.33,685.2,1393.6,858.369,499.2,575.19,1900,1940,2760,720,770
570,580,730,705.2,689.229,770,866.32,914.239,932.239,919.33,688.19,1394.6,860.369,500,576.169,1940,1980,2800,730,780
580,590,740,707.19,690.25,780,867.299,917.239,933.25,922.33,690.21,1395.6,863.38,510,577.179,1980,2020,2840,740,790
590,600,750,709.2,690.25,790,868.32,920.25,934.25,925.33,693.19,1396.6,865.38,520,578.179,2020,2060,2880,750,800
600,610,760,711.21,691.239,800,869.309,923.25,935.26,928.34,695.2,1397.6,868.39,530,579.19,2060,2100,2900,760,810
610,620,770,713.2,692.239,810,870.299,926.25,936.239,931.34,698.21,1398.6,870.369,540,580.179,2100,2140,3000,770,820
620,630,780,715.2,692.239,820,871.309,929.25,937.239,934.33,700.19,1399.6,873.369,550,581.169,2140,2180,3100,780,830
630,640,790,719.19,700,830,872.32,932.239,938.239,937.32,703.21,1400.6,875.38,560,582.169,2180,2220,3200,790,840
640,650,800,721.21,710,840,873.299,935.26,939.239,940.33,705.2,1401.6,878.39,570,583.169,2220,2260,3300,800,850
650,660,810,730,720,850,874.32,938.239,940.25,943.34,710.2,1402.6,880.38,580,584.179,2260,2300,3400,810,860
660,670,820,740,730,860,875.309,941.26,941.25,946.33,713.2,1403.6,883.369,590,590,2300,2360,3500,820,870
670,680,830,750,740,870,876.309,944.25,942.26,949.33,715.2,1404.6,885.39,600,600,2360,2400,3600,830,880
680,690,840,760,750,880,877.309,947.239,943.25,952.34,718.19,1405.6,888.38,610,610,2400,2440,3700,840,890
690,700,850,770,760,890,878.32,950.26,944.239,955.33,720.19,1406.6,890.369,620,620,2440,2480,3800,850,900
700,710,860,780,770,900,879.299,960,945.25,958.33,730,1407.6,893.38,630,630,2480,2520,3900,860,910
710,720,870,790,780,910,880.309,970,946.25,961.32,740,1408.6,895.38,640,640,2520,2560,4000,870,920
720,730,880,800,790,920,881.299,980,947.239,964.32,750,1409.6,898.38,650,650,2560,2600,4500,880,930
730,740,890,810,800,930,882.299,990,948.239,967.32,760,1410.6,900.369,660,660,2600,2640,4600,890,940
740,750,900,820,810,940,883.299,1000,949.239,970.33,770,1411.6,910,670,670,2640,2680,4700,900,950
750,760,910,830,820,950,884.309,1010,950.26,973.33,780,1412.6,920,680,680,2680,2720,4800,910,960
760,770,920,840,830,960,885.32,1020,960,976.34,790,1413.6,930,690,690,2720,2760,4900,920,970
770,780,930,850,840,970,886.309,1030,970,979.33,800,1414.6,940,700,700,2760,2800,5000,930,980
780,790,940,860,850,980,887.309,1040,980,982.34,810,1415.6,950,710,710,2800,2840,5100,940,990
790,800,950,870,860,990,888.32,1050,990,985.33,820,1416.6,960,720,720,2840,2880,nan,950,1000
800,810,960,880,870,1000,889.299,1060,1000,988.34,830,1417.6,970,730,730,2880,2900,nan,960,1010
810,820,970,890,880,1010,890.299,1070,1010,991.32,840,1418.6,980,740,740,2900,3000,nan,970,1020
820,830,980,900,890,1020,891.299,1080,1020,994.33,850,1419.6,990,750,750,3000,3100,nan,980,1030
830,840,990,910,900,1030,900,1090,1030,997.33,860,1420.6,1000,760,760,3100,3200,nan,990,1040
840,850,1000,920,910,1040,910,1100,1040,1000.3,870,1460,1010,770,770,3200,3300,nan,1000,1050
850,860,1010,930,920,1050,920,nan,1050,1003.3,880,1500,1020,780,780,3300,3400,nan,1010,1060
860,870,1020,940,930,1060,930,nan,1060,1006.3,890,1540,1030,790,790,3400,3500,nan,1020,1070
870,880,1030,950,940,1070,940,nan,1070,1009.3,900,1580,1040,800,800,3500,3600,nan,1030,1080
880,890,1040,960,950,1080,950,nan,1080,1012.3,910,1620,1050,810,810,3600,3700,nan,1040,1090
890,900,1050,970,960,1090,960,nan,1090,1015.3,920,1660,1060,820,820,3700,3800,nan,1050,1100
900,910,1060,980,970,1100,970,nan,1100,1020,930,1700,1070,830,830,3800,3900,nan,1060,nan
910,920,1070,990,980,nan,980,nan,nan,1030,940,1740,1080,840,840,3900,4000,nan,1070,nan
920,930,1080,1000,990,nan,990,nan,nan,1040,950,1780,1090,850,850,4000,nan,nan,1080,nan
930,940,1090,1010,1000,nan,1000,nan,nan,1050,960,1820,1100,860,860,5000,nan,nan,1090,nan
940,950,1100,1020,1010,nan,1010,nan,nan,1060,970,1860,nan,870,870,5100,nan,nan,1100,nan
950,960,nan,1030,1020,nan,1020,nan,nan,1070,980,1900,nan,880,880,nan,nan,nan,nan,nan
960,970,nan,1040,1030,nan,1030,nan,nan,1080,990,1940,nan,890,890,nan,nan,nan,nan,nan
970,980,nan,1050,1040,nan,1040,nan,nan,1090,1000,1980,nan,900,900,nan,nan,nan,nan,nan
980,990,nan,1060,1050,nan,1050,nan,nan,1100,1010,2020,nan,910,910,nan,nan,nan,nan,nan
990,1000,nan,1070,1060,nan,1060,nan,nan,nan,1020,2060,nan,920,920,nan,nan,nan,nan,nan
1000,1010,nan,1080,1070,nan,1070,nan,nan,nan,1030,2100,nan,930,930,nan,nan,nan,nan,nan
1010,1020,nan,1090,1080,nan,1080,nan,nan,nan,1040,2140,nan,940,940,nan,nan,nan,nan,nan
1020,1030,nan,1100,1090,nan,1090,nan,nan,nan,1050,2180,nan,950,950,nan,nan,nan,nan,nan
1030,1040,nan,nan,1100,nan,1100,nan,nan,nan,1060,2220,nan,960,960,nan,nan,nan,nan,nan
1040,1050,nan,nan,nan,nan,nan,nan,nan,nan,1070,2260,nan,970,970,nan,nan,nan,nan,nan
1050,1060,nan,nan,nan,nan,nan,nan,nan,nan,1080,2300,nan,980,980,nan,nan,nan,nan,nan
1060,1070,nan,nan,nan,nan,nan,nan,nan,nan,1090,2360,nan,990,990,nan,nan,nan,nan,nan
1070,1080,nan,nan,nan,nan,nan,nan,nan,nan,1100,2400,nan,1000,1000,nan,nan,nan,nan,nan
1080,1090,nan,nan,nan,nan,nan,nan,nan,nan,nan,2440,nan,1010,1010,nan,nan,nan,nan,nan
1090,1100,nan,nan,nan,nan,nan,nan,nan,nan,nan,2480,nan,1020,1020,nan,nan,nan,nan,nan
1100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2520,nan,1030,1030,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2560,nan,1040,1040,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2600,nan,1050,1050,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2640,nan,1060,1060,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2680,nan,1070,1070,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2720,nan,1080,1080,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2760,nan,1090,1090,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2800,nan,1100,1100,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2840,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2880,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2900,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3000,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3100,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3200,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3300,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3400,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3500,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3600,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3700,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3800,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3900,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4000,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
