"band1","band2","band3","band4","band5","band6"
0,6e-04,0,0,0.006,0
0,9e-04,0,0,0.012,0.003
0,0.001,0,4e-04,0.003,-0.002
0,0.002,0,0.0037,0.015,0.003
0,0.002,0,0.001,0.012,-0.001
0,0.003,0,0.0144,0.024,0
0,0.005,0,0.0182,0.04,0.004
0,0.009,0,0.0216,0.041,-0.004
0,0.0145,5e-04,0.0269,0.057,0.002
0,0.0236,1e-04,0.0315,0.076,0.002
0,0.026,0,0.0377,0.097,0.002
0,0.041,5e-04,0.0474,0.12,0.012
0,0.06,6e-04,0.0562,0.176,0.009
0,0.088,0.0014,0.0688,0.215,0.007
0,0.126,0.002,0.069,0.274,0.011
0,0.174,0.003,0.083,0.339,0.02
0,0.236,0.006,0.099,0.393,0.017
0,0.308,0.013,0.121,0.462,0.03
0,0.388,0.025,0.146,0.499,0.035
0,0.472,0.047,0.175,0.558,0.037
0,0.552,0.083,0.209,0.598,0.044
0,0.621,0.137,0.248,0.634,0.051
0,0.676,0.211,0.294,0.667,0.065
0,0.716,0.306,0.346,0.704,0.08
0,0.743,0.419,0.402,0.724,0.088
0.016,0.759,0.545,0.463,0.75,0.102
0.027,0.769,0.674,0.523,0.778,0.133
0.048,0.779,0.788,0.588,0.808,0.165
0.094,0.79,0.873,0.649,0.825,0.188
0.167,0.805,0.921,0.705,0.851,0.22
0.287,0.822,0.941,0.757,0.867,0.264
0.459,0.842,0.943,0.797,0.872,0.316
0.605,0.861,0.942,0.827,0.884,0.367
0.728,0.878,0.939,0.853,0.902,0.421
0.769,0.893,0.937,0.871,0.901,0.484
0.792,0.905,0.935,0.884,0.896,0.554
0.821,0.916,0.935,0.892,0.897,0.59
0.857,0.924,0.938,0.899,0.89,0.67
0.857,0.933,0.943,0.903,0.899,0.683
0.862,0.942,0.949,0.908,0.884,0.73
0.839,0.947,0.953,0.911,0.876,0.756
0.845,0.951,0.961,0.916,0.867,0.767
0.81,0.953,0.968,0.92,0.873,0.794
0.802,0.952,0.971,0.925,0.872,0.774
0.804,0.951,0.973,0.926,0.879,0.776
0.779,0.952,0.974,0.927,0.874,0.789
0.798,0.951,0.972,0.927,0.861,0.775
0.816,0.951,0.969,0.929,0.859,0.784
0.876,0.952,0.963,0.932,0.877,0.778
0.888,0.952,0.958,0.93,0.879,0.768
0.901,0.953,0.956,0.926,0.899,0.762
0.918,0.951,0.955,0.926,0.893,0.761
0.896,0.95,0.955,0.925,0.9,0.775
0.903,0.95,0.956,0.928,0.897,0.775
0.888,0.951,0.962,0.925,0.917,0.764
0.89,0.954,0.969,0.926,0.921,0.784
0.863,0.96,0.977,0.928,0.926,0.792
0.86,0.966,0.983,0.928,0.929,0.814
0.842,0.968,0.988,0.928,0.945,0.794
0.866,0.965,0.993,0.923,0.947,0.825
0.875,0.959,0.996,0.92,0.948,0.817
0.881,0.951,0.997,0.919,0.955,0.806
0.888,0.944,0.999,0.914,0.952,0.819
0.898,0.937,1,0.91,0.969,0.821
0.879,0.932,1,0.908,0.96,0.852
0.884,0.933,0.998,0.905,0.962,0.832
0.907,0.935,0.996,0.903,0.959,0.836
0.928,0.937,0.995,0.904,0.978,0.85
0.932,0.94,0.993,0.902,0.96,0.855
0.955,0.945,0.992,0.909,0.955,0.862
0.958,0.951,0.991,0.917,0.952,0.853
0.948,0.955,0.989,0.92,0.951,0.871
0.952,0.957,0.988,0.928,0.952,0.848
0.956,0.956,0.984,0.938,0.956,0.882
0.98,0.957,0.977,0.946,0.944,0.875
0.98,0.955,0.97,0.953,0.935,0.86
0.975,0.952,0.96,0.962,0.933,0.856
0.973,0.954,0.949,0.969,0.928,0.887
0.977,0.958,0.94,0.971,0.942,0.85
0.958,0.963,0.932,0.971,0.948,0.872
0.965,0.973,0.919,0.97,0.942,0.879
0.957,0.981,0.898,0.969,0.933,0.857
0.952,0.988,0.863,0.969,0.944,0.865
0.973,0.995,0.809,0.97,0.948,0.867
0.974,1,0.729,0.967,0.945,0.871
0.995,1,0.625,0.969,0.943,0.882
0.986,0.994,0.506,0.968,0.951,0.87
0.986,0.983,0.382,0.963,0.964,0.869
0.994,0.969,0.272,0.965,0.967,0.873
1,0.954,0.183,0.967,0.971,0.877
0.99,0.942,0.12,0.965,0.974,0.868
0.99,0.936,0.079,0.963,0.991,0.88
0.976,0.932,0.053,0.958,0.995,0.877
0.983,0.928,0.036,0.95,0.999,0.87
0.976,0.924,0.025,0.949,0.996,0.878
0.983,0.912,0.0196,0.943,0.994,0.88
0.96,0.883,0.0142,0.933,1,0.868
0.973,0.834,0.0101,0.929,0.994,0.881
0.964,0.763,0.0075,0.928,0.983,0.87
0.975,0.674,0,0.925,0.99,0.856
0.96,0.574,0,0.924,0.987,0.863
0.932,0.473,0,0.927,0.992,0.863
0.853,0.38,0,0.932,0.986,0.857
0.684,0.3,0,0.934,0.981,0.844
0.486,0.235,0,0.943,0.983,0.859
0.293,0.185,0,0.952,0.976,0.857
0.15,0.146,0,0.956,0.978,0.852
0.073,0.117,0,0.966,0.97,0.866
0.036,0.094,0,0.977,0.968,0.868
0.019,0.077,0,0.985,0.96,0.856
0.009,0.062,0,0.99,0.944,0.856
0,0.052,0,0.992,0.921,0.847
0,0.042,0,0.993,0.883,0.861
