"band1","band2","band3","band4","band5","band6"
0,0.033,0,0.994,0.845,0.862
0,0.026,0,0.998,0.791,0.84
0,0.021,0,0.996,0.711,0.856
0,0.0158,0,0.992,0.638,0.838
0,0.01235,0,0.991,0.547,0.856
0,0.0094,0,0.992,0.462,0.837
0,0.00717,0,0.994,0.393,0.842
0,0.0048,0,0.993,0.325,0.826
0,0.0037,0,0.997,0.267,0.844
0,0.0026,0,0.997,0.212,0.827
0,0.0017,0,0.996,0.175,0.842
0,0.0014,0,0.998,0.142,0.822
0,0,0,0.999,0.111,0.843
0,0,0,1,0.084,0.823
0,0,0,0.999,0.077,0.854
0,0,0,0.996,0.058,0.839
0,0,0,0.991,0.049,0.853
0,0,0,0.99,0.042,0.854
0,0,0,0.991,0.039,0.865
0,0,0,0.985,0.034,0.873
0,0,0,0.978,0.02,0.869
0,0,0,0.969,0.021,0.865
0,0,0,0.955,0.022,0.893
0,0,0,0.937,0.011,0.89
0,0,0,0.916,0.012,0.89
0,0,0,0.892,0.004,0.906
0,0,0,0.868,0.008,0.924
0,0,0,0.845,0,0.92
0,0,0,0.824,0,0.922
0,0,0,0.811,0,0.939
0,0,0,0.807,0,0.916
0,0,0,0.819,0,0.94
0,0,0,0.841,0,0.93
0,0,0,0.868,0,0.942
0,0,0,0.892,0,0.957
0,0,0,0.892,0,0.954
0,0,0,0.854,0,0.951
0,0,0,0.77,0,0.954
0,0,0,0.644,0,0.966
0,0,0,0.501,0,0.975
0,0,0,0.365,0,0.985
0,0,0,0.256,0,0.971
0,0,0,0.177,0,0.973
0,0,0,0.122,0,0.97
0,0,0,0.085,0,0.993
0,0,0,0.061,0,0.996
0,0,0,0.044,0,0.983
0,0,0,0.032,0,0.972
0,0,0,0.025,0,1
0,0,0,0.019,0,0.998
0,0,0,0.014,0,0.971
0,0,0,0.011,0,0.968
0,0,0,0.0107,0,0.967
0,0,0,0.008,0,0.962
0,0,0,0.0061,0,0.949
0,0,0,0.0052,0,0.923
0,0,0,0,0,0.929
0,0,0,0,0,0.917
0,0,0,0,0,0.934
0,0,0,0,0,0.903
0,0,0,0,0,0.926
0,0,0,0,0,0.916
0,0,0,0,0,0.942
0,0,0,0,0,0.924
0,0,0,0,0,0.92
0,0,0,0,0,0.863
0,0,0,0,0,0.824
0,0,0,0,0,0.775
0,0,0,0,0,0.684
0,0,0,0,0,0.583
0,0,0,0,0,0.48
0,0,0,0,0,0.378
0,0,0,0,0,0.275
0,0,0,0,0,0.233
0,0,0,0,0,0.171
0,0,0,0,0,0.131
0,0,0,0,0,0.111
0,0,0,0,0,0.081
0,0,0,0,0,0.069
0,0,0,0,0,0.046
0,0,0,0,0,0.029
0,0,0,0,0,0.038
0,0,0,0,0,-0.002
0,0,0,0,0,0.029
0,0,0,0,0,0.016
0,0,0,0,0,0.009
0,0,0,0,0,0.017
0,0,0,0,0,0.003
0,0,0,0,0,0.015
0,0,0,0,0,0
0,0,0,0,0,-0.009
0,0,0,0,0,0.007
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
