"band1","band2","band3","band4","band5","band6"
0.6993,0.8047,0.9035,0.958,0.9421,0.3568
0.7095,0.8153,0.9044,0.9661,0.9428,0.3878
0.7165,0.826,0.9052,0.9743,0.9434,0.419
0.72,0.8367,0.9055,0.9794,0.944,0.4502
0.7326,0.8425,0.9058,0.9845,0.9519,0.4814
0.7475,0.8483,0.906,0.9897,0.9572,0.5285
0.7583,0.8541,0.9062,0.9948,0.9625,0.5442
0.7714,0.8594,0.9064,1,0.9677,0.5744
0.7847,0.8646,0.9104,0.9982,0.9718,0.6048
0.7924,0.8695,0.9143,0.9964,0.9747,0.6353
0.8002,0.8743,0.9195,0.9946,0.9777,0.6659
0.808,0.8792,0.9266,0.9928,0.9806,0.6967
0.8156,0.8841,0.9338,0.991,0.9835,0.7276
0.8206,0.889,0.9412,0.9889,0.9842,0.7587
0.8257,0.8937,0.9488,0.9868,0.9827,0.7891
0.8308,0.8983,0.9563,0.9846,0.9813,0.8056
0.8359,0.9029,0.964,0.9825,0.9798,0.837
0.8421,0.9044,0.9699,0.9804,0.9783,0.8578
0.8526,0.9044,0.9749,0.9758,0.9763,0.8676
0.8642,0.905,0.9799,0.9712,0.9737,0.8774
0.8724,0.9056,0.9847,0.9666,0.9711,0.8873
0.8824,0.9063,0.9895,0.962,0.9686,0.8971
0.8925,0.9068,0.9932,0.9574,0.966,0.907
0.9026,0.9074,0.9966,0.9529,0.9661,0.917
0.9069,0.9073,1,0.9483,0.9687,0.9269
0.9111,0.9072,0.9995,0.9442,0.9727,0.9319
0.9154,0.907,0.9989,0.94,0.9753,0.9419
0.9196,0.9069,0.9983,0.9359,0.978,0.9519
0.9238,0.9067,0.9784,0.9313,0.979,0.9518
0.9285,0.9057,0.9806,0.9268,0.98,0.9517
0.9332,0.9047,0.9827,0.9223,0.981,0.9515
0.9379,0.9073,0.9732,0.9178,0.982,0.9514
0.9425,0.9098,0.9558,0.9161,0.983,0.9512
0.9472,0.9124,0.9384,0.916,0.9837,0.9512
0.9548,0.9155,0.9209,0.9164,0.9844,0.951
0.9623,0.9186,0.885,0.9167,0.985,0.9509
0.9698,0.9218,0.8364,0.917,0.9857,0.9507
0.9761,0.9392,0.7874,0.9173,0.9864,0.9505
0.9775,0.95,0.7,0.9176,0.9844,0.9526
0.9788,0.9591,0.6052,0.9178,0.9825,0.957
0.9802,0.9683,0.5144,0.9181,0.9796,0.9614
0.9815,0.9768,0.4413,0.9183,0.9776,0.9636
0.9837,0.9819,0.3678,0.9185,0.9784,0.968
0.9891,0.9871,0.2942,0.9188,0.982,0.9724
0.9935,0.9913,0.2277,0.919,0.9857,0.9769
0.9978,0.9967,0.1916,0.9192,0.9893,0.9813
1,0.9999,0.1552,0.9194,0.9926,0.9857
0.9952,1,0.1186,0.9196,0.9953,0.9902
0.9828,0.9978,0.1079,0.9202,0.9963,0.9947
0.9524,0.9961,0.0972,0.9208,0.9974,0.9952
0.9219,0.992,0.0864,0.9214,0.9985,0.9955
0.8914,0.9757,0.0756,0.922,0.9995,0.996
0.8607,0.9592,0.0646,0.9226,0.9997,0.9966
0.8293,0.9428,0.0464,0.9232,0.9988,0.9971
0.8021,0.9199,0.0309,0.9237,0.9981,0.9976
0.7877,0.887,0.02,0.9243,0.9975,0.9982
0.7732,0.854,0.0123,0.9249,0.9968,0.9987
0.7565,0.821,0.0062,0.9254,0.9922,0.9992
0.7339,0.7878,0.0031,0.9217,0.9877,0.9997
0.6859,0.7387,0,0.9179,0.9854,0.9996
0.5784,0.6647,0,0.9141,0.9831,0.9987
0.4813,0.5901,0,0.9104,0.9785,0.9978
0.4002,0.5153,0,0.9067,0.974,0.997
0.3187,0.4616,0,0.9029,0.9706,0.9961
0.2367,0.4083,0,0.8992,0.9671,0.9956
0.1324,0.3547,0,0.8947,0.9637,0.9948
0.1018,0.3007,0,0.8901,0.9603,0.9939
0.0911,0.2464,0,0.8856,0.9569,0.993
0.0804,0.2039,0,0.8831,0.9555,0.9921
0.0696,0.1796,0,0.8815,0.9542,0.9912
0.0588,0.1552,0,0.881,0.9523,0.9857
0.0532,0.1306,0,0.8804,0.9509,0.9829
0.0498,0.1072,0,0.8811,0.9505,0.9746
0.0465,0.0969,0,0.8818,0.9508,0.9718
0.0431,0.0865,0,0.8824,0.9512,0.9663
0.0397,0.076,0,0.8831,0.9516,0.9608
0.0364,0.0655,0,0.8838,0.9519,0.9552
0.033,0.0549,0,0.8844,0.946,0.9497
0.0296,0.0517,0,0.8858,0.9339,0.9442
0.0261,0.0485,0,0.8871,0.9219,0.9359
0.0227,0.0454,0,0.8853,0.9098,0.9357
0.0205,0.0422,0,0.8832,0.8915,0.9355
0.0184,0.0389,0,0.881,0.8651,0.9352
0.0162,0.0357,0,0.8768,0.8124,0.9348
0.014,0.0207,0,0.8725,0.7597,0.9345
0.0119,0.0115,0,0.8683,0.7069,0.9342
0.0105,0.0058,0,0.8641,0.6542,0.9338
0.0093,0,0,0.8599,0.5968,0.9335
0.0081,0,0,0.853,0.535,0.9331
0.0069,0,0,0.8451,0.4732,0.9328
0.0058,0,0,0.8372,0.4114,0.9326
0.0056,0,0,0.8294,0.3497,0.9302
0.0054,0,0,0.8217,0.3026,0.9258
0.0052,0,0,0.8139,0.2698,0.9213
0,0,0,0.8063,0.2369,0.9169
0,0,0,0.7986,0.204,0.9125
0,0,0,0.791,0.171,0.9081
0,0,0,0.7835,0.1462,0.9037
0,0,0,0.7835,0.1294,0.9015
0,0,0,0.7836,0.1127,0.8971
0,0,0,0.7787,0.096,0.8927
0,0,0,0.769,0.0794,0.8884
0,0,0,0.7592,0.0684,0.8744
0,0,0,0.7495,0.0629,0.8603
0,0,0,0.7398,0.0574,0.8462
0,0,0,0.7302,0.0463,0.8322
0,0,0,0.7208,0.0326,0.8182
0,0,0,0.7152,0.0217,0.8043
0,0,0,0.671,0.0129,0.7973
0,0,0,0.6299,0.0086,0.7834
0,0,0,0.5891,0.0043,0.7695
0,0,0,0.5299,0.0032,0.7557
0,0,0,0.4664,0.0021,0.7523
0,0,0,0.4033,0,0.7598
0,0,0,0.3405,0,0.7673
0,0,0,0.2945,0,0.7748
0,0,0,0.2528,0,0.7822
0,0,0,0.2114,0,0.786
0,0,0,0.1702,0,0.7935
0,0,0,0.143,0,0.8009
0,0,0,0.1195,0,0.8084
0,0,0,0.0962,0,0.8159
0,0,0,0.0772,0,0.8233
0,0,0,0.0314,0,0.8162
0,0,0,0.0154,0,0.8126
0,0,0,0.0075,0,0.8053
0,0,0,0.0055,0,0.798
0,0,0,0.0035,0,0.7907
0,0,0,0.0017,0,0.7834
0,0,0,0,0,0.7761
0,0,0,0,0,0.7688
0,0,0,0,0,0.7615
0,0,0,0,0,0.7542
0,0,0,0,0,0.7505
0,0,0,0,0,0.6955
0,0,0,0,0,0.64
0,0,0,0,0,0.5845
0,0,0,0,0,0.5288
0,0,0,0,0,0.4732
0,0,0,0,0,0.4175
0,0,0,0,0,0.3618
0,0,0,0,0,0.3339
0,0,0,0,0,0.2781
0,0,0,0,0,0.2223
0,0,0,0,0,0.1856
0,0,0,0,0,0.1692
0,0,0,0,0,0.1526
0,0,0,0,0,0.1361
0,0,0,0,0,0.1195
0,0,0,0,0,0.1028
0,0,0,0,0,0.0862
0,0,0,0,0,0.0778
0,0,0,0,0,0.0611
0,0,0,0,0,0.0443
0,0,0,0,0,0.0274
0,0,0,0,0,0.0245
0,0,0,0,0,0.0218
0,0,0,0,0,0.0191
0,0,0,0,0,0.0137
0,0,0,0,0,0.0069
0,0,0,0,0,0
