"band1","band2","band3","band4","band5","band6"
0,0,0.0018,0.0023,0.0012,0.0097
0,7e-04,0.002,0.0046,0.0013,0.0102
0,0.0021,0.0079,0.007,0.0014,0.0112
0,0.0036,0.0205,0.0093,0.0016,0.0121
0,0.0032,0.0375,0.0186,0.0024,0.0131
0,0.0065,0.0409,0.0214,0.0039,0.0141
0,0.0089,0.0555,0.0242,0.0054,0.0151
0,0.0139,0.073,0.027,0.0061,0.016
0,0.0164,0.0906,0.0298,0.0077,0.017
0,0.019,0.1082,0.0326,0.0093,0.018
7e-04,0.0233,0.1262,0.0402,0.0116,0.0185
8e-04,0.0261,0.1444,0.0478,0.014,0.0194
8e-04,0.029,0.1626,0.0554,0.0165,0.0219
9e-04,0.0318,0.2169,0.063,0.019,0.0244
9e-04,0.0347,0.2958,0.0706,0.0216,0.0269
0.001,0.0377,0.3759,0.0784,0.0351,0.0294
0.0013,0.0544,0.4086,0.0862,0.0419,0.0319
0.0016,0.0713,0.4293,0.094,0.0557,0.0344
0.002,0.0982,0.4503,0.1152,0.0696,0.0367
0.0023,0.1297,0.4715,0.1364,0.0837,0.0381
0.0027,0.1635,0.4923,0.1577,0.1104,0.0407
0.0042,0.2055,0.5132,0.1791,0.1497,0.0432
0.006,0.2479,0.5343,0.2069,0.1894,0.0472
0.0086,0.2908,0.5555,0.2409,0.2295,0.0527
0.0113,0.3341,0.5774,0.2752,0.2701,0.0583
0.0141,0.3779,0.6031,0.3095,0.3179,0.0638
0.017,0.419,0.6374,0.344,0.3732,0.0694
0.0216,0.4593,0.6848,0.3786,0.4294,0.075
0.0268,0.4999,0.7325,0.4133,0.4865,0.0778
0.0321,0.5409,0.7482,0.4482,0.5446,0.0834
0.037,0.5718,0.7642,0.4833,0.5989,0.0891
0.042,0.5967,0.7802,0.5259,0.6239,0.0947
0.0471,0.6142,0.7947,0.5683,0.6746,0.1004
0.0524,0.6286,0.8065,0.6108,0.726,0.1136
0.0577,0.6431,0.8184,0.6534,0.7781,0.1267
0.0633,0.6578,0.8304,0.6963,0.8308,0.14
0.0746,0.6722,0.8424,0.7393,0.8553,0.1466
0.1097,0.6868,0.8545,0.7745,0.88,0.1599
0.1564,0.7015,0.8614,0.8017,0.905,0.1732
0.2483,0.7163,0.8678,0.829,0.9301,0.1865
0.3391,0.7312,0.8743,0.8564,0.9555,0.1998
0.4058,0.7416,0.8809,0.8838,0.9526,0.2132
0.4741,0.752,0.8875,0.8992,0.9497,0.2266
0.5366,0.7625,0.8971,0.9146,0.9467,0.2486
0.5856,0.773,0.9008,0.93,0.9438,0.2794
0.6667,0.7836,0.9017,0.9418,0.9409,0.3103
0.688,0.7941,0.9026,0.9499,0.9415,0.3258
