"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"Rest2",-0.039507,-0.038016,-0.033923,-0.028368,-0.025736,-0.019729,-0.014415,-0.011398,-0.010888,-0.010464,-0.009126,-0.007379,-0.007117,-0.007013,-0.00691,-0.006547,-0.004279,-0.003986,-0.003771,-0.003267,-0.002651
"Rest3",-0.019559,-0.01965,-0.019656,-0.019124,-0.018432,-0.01637,-0.013966,-0.012202,-0.011867,-0.01158,-0.010662,-0.009364,-0.009151,-0.009065,-0.008978,-0.008669,-0.00645,-0.006154,-0.005931,-0.005382,-0.004646
"Rest4",-0.001702,-0.001822,-0.002146,-0.002548,-0.002655,-0.002846,-0.002965,-0.002984,-0.002982,-0.002977,-0.002972,-0.002947,-0.002934,-0.002928,-0.002921,-0.002895,-0.002545,-0.002581,-0.00261,-0.002674,-0.002731
"Resr1",-0.022547,-0.018605,-0.010427,-0.003847,-0.002683,-0.001167,-0.000467,-0.000245,-0.000217,-0.000196,-0.000138,-8.6e-05,-7.9e-05,-7.8e-05,-7.5e-05,-6.6e-05,-2.4e-05,-2.1e-05,-1.9e-05,-1.5e-05,-1e-05
"Resr2",0.033888,0.029727,0.018275,0.003039,0.000575,-0.002509,-0.003662,-0.003758,-0.003777,-0.003742,-0.003604,-0.003289,-0.003204,-0.00313,-0.003182,-0.003045,-0.002415,-0.002415,-0.00231,-0.002206,-0.001899
"Resr3",0.0145,0.015612,0.018615,0.021505,0.022445,0.024361,0.025701,0.026125,0.026187,0.026122,0.026799,0.028395,0.028535,0.028263,0.028629,0.028662,0.026701,0.028006,0.029133,0.03153,0.036721
"Resa1",-0.01622,-0.015843,-0.014877,-0.013696,-0.013176,-0.011509,-0.010175,-0.009112,-0.008907,-0.008737,-0.008033,-0.006902,-0.006729,-0.006663,-0.006596,-0.006364,-0.004901,-0.004623,-0.004415,-0.003918,-0.003313
"Resa2",-0.036452,-0.03667,-0.037358,-0.038498,-0.038739,-0.038469,-0.038662,-0.038148,-0.038004,-0.037882,-0.037077,-0.035385,-0.035122,-0.035017,-0.034912,-0.034541,-0.031971,-0.03118,-0.030563,-0.029046,-0.027051
"Resa3",-0.019543,-0.020295,-0.02259,-0.026347,-0.027849,-0.030998,-0.03568,-0.038467,-0.038949,-0.039363,-0.040514,-0.041875,-0.04211,-0.042203,-0.042295,-0.042638,-0.045147,-0.045212,-0.045248,-0.045358,-0.045503
"Resa4",-0.003353,-0.003596,-0.004367,-0.005721,-0.00634,-0.00798,-0.010451,-0.012346,-0.01272,-0.013046,-0.014215,-0.016151,-0.016491,-0.016628,-0.016767,-0.017279,-0.021389,-0.022098,-0.022672,-0.024214,-0.026542
