"band1","band2","band3","band4","band5","band6","band7","band8","band9","band10","band11","band12","band13"
0.8873109694,0.8617917559,0.7646065328,0.9552745886,6.91660421125556e-310,6.91660421126347e-310,6.91660421127137e-310,0.9779390303,0.2502064301,6.91660421129509e-310,0.981720971,0.537634456,0.327177957
0.9261992423,0.8928259918,0.7496374458,0.943764654,6.91660421135833e-310,6.91660421136623e-310,6.91660421137414e-310,0.9772277136,0.1122124591,6.91660421139785e-310,0.987945142,0.647173334,0.36840376
0.9822814949,0.9195221027,0.7505511102,0.8949079858,6.91660421146584e-310,6.91660421147374e-310,6.91660421148165e-310,0.9781060857,0.0475598444,6.91660421150536e-310,0.992810636,0.743528409,0.40800276
1,0.9190064946,0.7613788827,0.7442630787,6.9166042115686e-310,6.91660421157651e-310,6.91660421158441e-310,0.981444864,0.0229781463,6.91660421160813e-310,0.996478958,0.815215305,0.444778149
0.9752382021,0.9131575357,0.7824447875,0.4767770008,6.91660421167611e-310,6.91660421168402e-310,6.91660421169192e-310,0.9876455755,0.0106143752,6.91660421171564e-310,0.99904946,0.859201504,0.476537405
0.9359633798,0.9003536629,0.798900864,0.2296039877,6.91660421177888e-310,6.91660421178678e-310,6.91660421179469e-310,0.988577078,0.0010814945,6.9166042118184e-310,1,0.879668577,0.503106894
0.8899714811,0.8898969345,0.8101695652,0.0800911766,6.91660421188639e-310,6.91660421189429e-310,6.9166042119022e-310,0.9862421982,6.91660421191801e-310,6.91660421192591e-310,0.999092287,0.887029952,0.525317548
0.8502104772,0.882324603,0.8140888644,0.0261707622,6.91660421198915e-310,6.91660421199706e-310,6.91660421200496e-310,0.980709208,6.91660421202077e-310,6.91660421203342e-310,0.996049616,0.889097838,0.543351996
0.8256945257,0.8760611766,0.7735859605,0.0041524187,6.91660421209666e-310,6.91660421210457e-310,6.91660421211247e-310,0.9707862437,6.91660421212828e-310,6.91660421213619e-310,0.990956135,0.891416958,0.557252862
0.7839023879,0.8842998719,0.6288106487,6.91660421219152e-310,6.91660421219943e-310,6.91660421220733e-310,6.91660421221524e-310,0.9572108944,6.91660421223579e-310,6.9166042122437e-310,0.984853732,0.897586018,0.568634197
0.6141742153,0.9069554421,0.4039755495,6.91660421229903e-310,6.91660421230694e-310,6.91660421231484e-310,6.91660421232275e-310,0.9386582058,6.91660421233856e-310,6.91660421234646e-310,0.978085355,0.90663052,0.579029932
0.3300710872,0.9323208527,0.2154209824,6.9166042124018e-310,6.9166042124097e-310,6.91660421241761e-310,6.91660421242551e-310,0.9167238801,6.91660421244606e-310,6.91660421245397e-310,0.970372704,0.916528056,0.588683995
0.124108313,0.9394725206,0.107152815,6.9166042125093e-310,6.91660421251721e-310,6.91660421252511e-310,6.91660421253302e-310,0.896207585,6.91660421254883e-310,6.91660421255674e-310,0.960890124,0.92657894,0.59889121
0.0436569398,0.9438354287,0.0479287677,6.91660421261207e-310,6.91660421261998e-310,6.91660421262788e-310,6.91660421264053e-310,0.8728879982,6.91660421265634e-310,6.91660421266424e-310,0.948599028,0.935322165,0.609981083
0.0147495948,0.9220408609,0.01848693,6.91660421271958e-310,6.91660421272748e-310,6.91660421273539e-310,6.91660421274329e-310,0.8516033071,6.9166042127591e-310,6.91660421276701e-310,0.933274986,0.942393561,0.621362162
6.91660421279863e-310,0.8860231046,0.0010858754,6.91660421282234e-310,6.91660421283025e-310,6.9166042128429e-310,6.9166042128508e-310,0.8246393958,6.91660421286661e-310,6.91660421287452e-310,0.915013686,0.947506732,0.634282516
6.91660421290614e-310,0.847436088,6.91660421292195e-310,6.91660421292985e-310,6.91660421293776e-310,6.91660421294566e-310,6.91660421295357e-310,0.8007811736,6.91660421296938e-310,6.91660421297728e-310,0.894075033,0.951415577,0.64854644
6.9166042130089e-310,0.812516871,6.91660421302471e-310,6.91660421303262e-310,6.91660421304527e-310,6.91660421305317e-310,6.91660421306108e-310,0.7823385981,6.91660421307689e-310,6.91660421308479e-310,0.868634853,0.954254286,0.663707315
6.91660421311641e-310,0.7823970972,6.91660421313222e-310,6.91660421314013e-310,6.91660421314803e-310,6.91660421315594e-310,6.91660421316384e-310,0.7636027437,6.91660421317965e-310,6.91660421318756e-310,0.830744554,0.956429305,0.680046291
6.91660421321918e-310,0.7731087004,6.91660421323499e-310,6.91660421324764e-310,6.91660421325554e-310,6.91660421326345e-310,6.91660421327135e-310,0.7496277068,6.91660421328716e-310,6.91660421329507e-310,0.76452492,0.958205215,0.696164765
6.91660421332669e-310,0.7720905377,6.9166042133425e-310,6.9166042133504e-310,6.91660421335831e-310,6.91660421336621e-310,6.91660421337412e-310,0.738722099,6.91660421338993e-310,6.91660421339783e-310,0.65530055,0.960687866,0.711964139
6.91660421342945e-310,0.7874265227,6.91660421345001e-310,6.91660421345791e-310,6.91660421346582e-310,6.91660421347372e-310,6.91660421348163e-310,0.730794069,6.91660421349744e-310,6.91660421350534e-310,0.507853983,0.963480014,0.727011081
6.91660421353696e-310,0.8121717712,6.91660421355277e-310,6.91660421356068e-310,6.91660421356858e-310,6.91660421357649e-310,6.91660421358439e-310,0.7227123678,6.9166042136002e-310,6.91660421360811e-310,0.35145525,0.965796837,0.741301118
6.91660421363973e-310,0.8460505195,6.91660421366028e-310,6.91660421366819e-310,6.91660421367609e-310,6.916604213684e-310,6.9166042136919e-310,0.7250770836,6.91660421370771e-310,6.91660421371562e-310,0.219307816,0.968180454,0.757405387
6.91660421374724e-310,0.8876799593,6.91660421376305e-310,6.91660421377095e-310,6.91660421377886e-310,6.91660421378676e-310,6.91660421379467e-310,0.7256385563,6.91660421381048e-310,6.91660421381838e-310,0.1274815,0.97101157,0.772070514
6.91660421385474e-310,0.9279399735,6.91660421387055e-310,6.91660421387846e-310,6.91660421388636e-310,6.91660421389427e-310,6.91660421390217e-310,0.7230421744,6.91660421391798e-310,6.91660421392589e-310,0.068371642,0.973379886,0.78558074
6.91660421395751e-310,0.9506923472,6.91660421397332e-310,6.91660421398123e-310,6.91660421398913e-310,6.91660421399704e-310,6.91660421400494e-310,0.7222921062,6.91660421402075e-310,6.91660421402866e-310,0.032620423,0.97591493,0.798238093
6.91660421406502e-310,0.9657331069,6.91660421408083e-310,6.91660421408873e-310,6.91660421409664e-310,6.91660421410454e-310,6.91660421411245e-310,0.7161636448,6.91660421412826e-310,6.91660421413616e-310,0.013687992,0.978581496,0.809677071
6.91660421416778e-310,0.9693825326,6.91660421418359e-310,6.9166042141915e-310,6.9166042141994e-310,6.91660421420731e-310,6.91660421421521e-310,0.7115944593,6.91660421423102e-310,6.91660421423893e-310,0.005499615,0.979877753,0.819701739
