"","V1","V2","V3","V4","V5","V6"
"ah2o",0,-0.003445,-0.003195,-0.025375,-0.014227,-0.021281
"nh2o",0,0.75667,0.783447,0.575457,0.585985,0.660318
"ao3",-0.01642,-0.093092,-0.055518,-0.000109,0,0
"no3",0.99434,0.996313,0.995636,0.996005,0,0
"ao2",0,0,-0.01058,-0.003372,0,0
"no2",0,0,0.479349,0.389581,0,0
"po2",0,0,1.916618,2.242204,0,0
"aco2",0,0,0,0,-0.008037,-0.017873
"nco2",0,0,0,0,0.739815,0.553544
"pco2",0,0,0,0,1.356487,1.809237
"ach4",0,0,0,0,-0.005028,-0.029187
"nch4",0,0,0,0,0.898173,0.768141
"pch4",0,0,0,0,1.082853,1.207388
"ano2",0,0,0,0,0,-0.001283
"nno2",0,0,0,0,0,0.94811
"pno2",0,0,0,0,0,1.040435
"aco",0,0,0,0,0,0
"nco",0,0,0,0,0,0
"pco",0,0,0,0,0,0
"a0s",0.073715,0.044876,0.025882,0.011693,0.000863,2.7e-05
"a1s",0.180914,0.20265,0.205288,0.1712,0.072637,0.039992
"a2s",-0.072871,-0.078357,-0.07873,-0.065552,-0.022742,-0.009788
"a3s",0.061471,0.035157,0.019063,0.008717,0.000911,0.000224
"a0T",1.109249,1.10872,1.098588,1.076981,1.031124,1.017531
"a1T",-0.220176,-0.208874,-0.18816,-0.164039,-0.092022,-0.052558
"a2T",-0.142987,-0.083002,-0.045932,-0.020828,-0.001628,-0.000862
"a3T",-0.255868,-0.222915,-0.188786,-0.142195,-0.055392,-0.030783
"taur",0.176141,0.091947,0.046664,0.018634,0.001196,0.000375
"sr",0.133913,0.077725,0.042287,0.017728,0.00119,0.000374
"a0taup",-1.5e-07,1.665335e-16,3.330669e-16,-7.5e-08,-1e-07,-7.5e-08
"a1taup",1.167849,0.9797,0.806726,0.603969,0.252805,0.157664
"wo",0.899388,0.89224,0.88494,0.848847,0.753094,0.761566
"gc",0.640711,0.636568,0.632026,0.631979,0.659545,0.732284
"a0P",6.75201514178659,6.76063417779701,6.74743310482456,6.56755908288053,5.43447520673269,4.60635322723774
"a1P",-0.189919671374288,-0.18911571685235,-0.187652139477773,-0.180213375994458,-0.144333334191605,-0.129110450413581
"a2P",0.00207747231398399,0.00205643869061202,0.00202868237326944,0.00191887017702537,0.00147420911924111,0.00139330932956225
"a3P",-1.02360844384539e-05,-1.00615090386196e-05,-9.86164032064467e-06,-9.16307767181057e-06,-6.66385514053531e-06,-6.65692464929783e-06
"a4P",1.92652139829598e-08,1.87830538607598e-08,1.82817852114625e-08,1.66556197074794e-08,1.13577965787777e-08,1.19346999428628e-08
"Rest1",-0.010731,-0.004602,-0.001648,-0.000205,-0.000113,-0.000187
"Rest2",-0.026605,-0.017162,-0.009918,-0.004368,-0.000323,-0.000394
"Rest3",-0.019742,-0.016084,-0.011248,-0.006472,-0.000642,-0.0013
"Rest4",-0.003041,-0.003436,-0.003257,-0.002762,-0.000635,0.002121
"Resr1",-0.004544,-0.001014,-0.000216,-3e-05,-4.6e-05,-1.8e-05
"Resr2",0.004198,-0.00416,-0.004654,-0.003104,-0.024799,-0.036534
"Resr3",0.021955,0.025398,0.026345,0.029347,6.486613,26.618368
"Resa1",-0.010528,-0.008658,-0.006861,-0.003959,-0.000425,-4.8e-05
"Resa2",-0.036252,-0.03618,-0.035409,-0.029421,-0.010867,-0.0048
"Resa3",-0.030809,-0.037048,-0.044464,-0.048549,-0.039199,-0.034959
"Resa4",-0.008161,-0.011829,-0.017377,-0.02614,-0.058086,-0.10046
