"band1","band2","band3","band4","band5","band6","band7","band8","band9"
0,0.996498,0.986657,0,0,0.923683,0.554715,0.889903,0
0,1,0.974207,0,0,0.923953,0.593227,0.893427,0
0,0.9556,0.946407,0,0,0.924259,0.633521,0.885948,0
0,0.844893,0.904478,0,0,0.922828,0.663067,0.874097,0
0,0.534592,0.809275,0,0,0.921383,0.689664,0.875674,0
0,0.190738,0.684974,0,0,0.922061,0.722284,0.882402,0
0,0.048329,0.525304,0,0,0.922756,0.756529,0.891375,0
0,0.013894,0.345364,0,0,0.924648,0.776463,0.901194,0
0,0.005328,0.190467,0,0,0.926605,0.792667,0.903528,0
0,0.002611,0.087833,0,0,0.934552,0.813716,0.902826,0
0,0.001557,0.035393,0,0,0.942525,0.836001,0.907551,0
0,0.0011,0.014077,0,0,0.944351,0.846344,0.91435,0
0,0.000785,0.005944,0,0,0.945872,0.853714,0.914932,0
0,0.000516,0.002574,0,0,0.946175,0.867845,0.91319,0
0,0.000321,0.001046,0,0,0.946432,0.883615,0.915508,0
0,0.000162,0.000394,0,0,0.947006,0.886411,0.919554,0
0,7.2e-05,8.5e-05,0,0,0.947589,0.886127,0.920802,0
0,5.7e-05,-8.4e-05,0,0,0.950194,0.895232,0.92104,0
0,2.3e-05,-0.000194,0,0,0.952859,0.906527,0.924431,0
0,3.2e-05,-0.000234,0,0,0.951303,0.909739,0.929105,0
0,-1.6e-05,-0.000292,0,0,0.94967,0.911091,0.930068,0
0,0,-0.000307,0,0,0.953047,0.917985,0.929551,0
0,0,-0.000343,0,0,0.956494,0.926131,0.937549,0
0,0,-0.000348,0,0,0.959047,0.929693,0.948863,0
0,0,-0.000329,0,0,0.961545,0.932227,0.947084,0
0,0,-0.000351,0,0,0.960048,0.936544,0.940273,0
0,0,-0.000317,0,0,0.958335,0.941406,0.940813,0
0,0,0,0,0,0.959835,0.942571,0.944136,0
0,0,0,0,0,0.96147,0.942952,0.945674,0
0,0,0,0,0,0.960857,0.943112,0.946566,0
0,0,0,0,0,0.960175,0.943194,0.942462,0
0,0,0,0,0,0.960813,0.945168,0.936298,0
0,0,0,0,0,0.961486,0.947537,0.939621,0
0,0,0,0,0,0.964703,0.948776,0.946659,0
0,0,0,0,0,0.967943,0.949694,0.942374,0
0,0,0,0,0,0.969314,0.949643,0.933839,0
0,0,0,0,0,0.970589,0.9494,0.93425,0
0,0,0,0,0,0.973713,0.952551,0.93784,0
0,0,0,0,0,0.976906,0.956635,0.940838,0
0,0,0,0,0,0.9791,0.953083,0.943626,0
0,0,0,0,0,0.981258,0.947423,0.952415,0
0,0,0,0,0,0.981285,0.949094,0.963664,0
0,0,0,0,0,0.981372,0.952773,0.967381,0
0,0,0,0,0,0.988609,0.950874,0.968241,0
0,0,0,0,0,0.995869,0.947477,0.968233,0
0,0,0,0,0,0.998021,0.947014,0.967878,0
0,0,0,0,0,1,0.947085,0.965083,0
0,0,0,0,0,0.999848,0.951812,0.961367,0
0,0,0,0,0,0.999642,0.957717,0.957232,0
0,0,0,0,0,0.99659,0.953332,0.952939,0
0,0,0,0,0,0.993439,0.946412,0.949345,0
0,0,0,0,0,0.986217,0.947778,0.946006,0
0,0,0,0,0,0.978989,0.951119,0.948081,0
0,0,0,0,0,0.967125,0.951641,0.952465,0
0,0,0,0,0,0.95512,0.951518,0.954526,0
0,0,0,0,0,0.936199,0.948644,0.955814,0
0,0,0,0,0,0.917239,0.944956,0.959149,0
0,0,0,0,0,0.879424,0.942515,0.963216,0
0,0,0,0,0,0.840967,0.940311,0.964158,0
0,0,0,0,0,0.796545,0.9434,0.963953,0
0,0,0,0,0,0.751893,0.947923,0.965943,0
0,0,0,0,0,0.694313,0.94501,0.968789,0
0,0,0,0,0,0.636542,0.940213,0.972688,0
0,0,0,0,0,0.573232,0.938737,0.977026,0
0,0,0,0,0,0.509946,0.93806,0.978028,0
0,0,0,0,0,0.451966,0.941859,0.977901,0
0,0,0,0,0,0.39403,0.947019,0.974158,0
0,0,0,0,0,0.34275,0.946554,0.969078,0
0,0,0,0,0,0.291752,0.944482,0.969583,0
0,0,0,0,0,0.251309,0.947414,0.972297,0
0,0,0,0,0,0.211153,0.951661,0.972906,0
0,0,0,0,0,0.180823,0.949283,0.972708,0
0,0,0,0,0,0.15054,0.945318,0.969732,0
0,0,0,0,0,0.128463,0.939939,0.96578,0
0,0,0,0,0,0.106664,0.934142,0.965561,0
0,0,0,0,0,0.090735,0.935493,0.966835,0
0,0,0,0,0,0.074941,0.93882,0.966641,0
0,0,0,0,0,0.06379,0.939253,0.965899,0
0,0,0,0,0,0.052752,0.938955,0.972067,0
0,0,0,0,0,0.045028,0.934675,0.981077,0
0,0,0,0,0,0.03731,0.929162,0.980971,0
0,0,0,0,0,0.031821,0.927085,0.977722,0
0,0,0,0,0,0.02635,0.925692,0.974405,0
0,0,0,0,0,0.022504,0.930508,0.971123,0
0,0,0,0,0,0.018724,0.936899,0.963139,0
0,0,0,0,0,0.016045,0.933908,0.95326,0
0,0,0,0,0,0.013394,0.927984,0.953494,0
0,0,0,0,0,0.011483,0.930981,0.957536,0
0,0,0,0,0,0.009587,0.936472,0.963851,0
0,0,0,0,0,0.008227,0.935776,0.970928,0
0,0,0,0,0,0.006882,0.933523,0.969453,0
0,0,0,0,0,0.00591,0.935132,0.96475,0
0,0,0,0,0,0.00494,0.937592,0.966541,0
0,0,0,0,0,0.004257,0.946217,0.970613,0
0,0,0,0,0,0.003576,0.956567,0.973941,0
0,0,0,0,0,0.003055,0.955661,0.977055,0
0,0,0,0,0,0.002541,0.951991,0.982894,0
0,0,0,0,0,0.00216,0.956666,0.98977,0
0,0,0,0,0,0.001781,0.963135,0.988302,0
0,0,0,0,0,0.001512,0.964442,0.983542,0
0,0,0,0,0,0.001244,0.964365,0.987968,0
0,0,0,0,0,0.00104,0.963523,0.995538,0
0,0,0,0,0,0.000837,0.962434,0.998579,0
0,0,0,0,0,0.000677,0.962905,1,0
0,0,0,0,0,0.000517,0.963685,0.99981,0
0,0,0,0,0,0.000409,0.962473,0.999061,0
0,0,0,0,0,0.000301,0.960741,0.997891,0
0,0,0,0,0,0.000206,0.959239,0.99658,0
0,0,0,0,0,0.000112,0.957814,0.992555,0
0,0,0,0,0,4e-05,0.957781,0.987369,0
0,0,0,0,0,-3.1e-05,0.958041,0.985862,0
0,0,0,0,0,0,0.953274,0.985761,0
0,0,0,0,0,0,0.94716,0.955679,0
0,0,0,0,0,0,0.951706,0.913945,0
0,0,0,0,0,0,0.958833,0.78014,0
0,0,0,0,0,0,0.960212,0.610197,0
0,0,0,0,0,0,0.960339,0.438556,0
0,0,0,0,0,0,0.954785,0.266714,0
0,0,0,0,0,0,0.947696,0.167313,0
0,0,0,0,0,0,0.951965,0.094013,0
0,0,0,0,0,0,0.95906,0.057564,0
0,0,0,0,0,0,0.960554,0.034787,0
0,0,0,0,0,0,0.960764,0.022882,0
0,0,0,0,0,0,0.95575,0.015178,0
0,0,0,0,0,0,0.949261,0.010755,0
0,0,0,0,0,0,0.953245,0.007663,0
0,0,0,0,0,0,0.95997,0.005756,0
0,0,0,0,0,0,0.963736,0.004292,0
0,0,0,0,0,0,0.966786,0.00322,0
0,0,0,0,0,0,0.964315,0.002283,0
0,0,0,0,0,0,0.960173,0.001545,0
0,0,0,0,0,0,0.965473,0.000879,0
0,0,0,0,0,0,0.973416,0.000214,0
0,0,0,0,0,0,0.977637,0,0
0,0,0,0,0,0,0.980904,0,0
0,0,0,0,0,0,0.98276,0,0
0,0,0,0,0,0,0.984155,0,0
0,0,0,0,0,0,0.984693,0,0
0,0,0,0,0,0,0.985056,0,0
0,0,0,0,0,0,0.991486,0,0
0,0,0,0,0,0,0.9996,0,0
0,0,0,0,0,0,0.997654,0,0
0,0,0,0,0,0,0.993153,0,0
0,0,0,0,0,0,0.992469,0,0
0,0,0,0,0,0,0.992675,0,0
0,0,0,0,0,0,0.995894,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0.999279,0,0
0,0,0,0,0,0,0.997261,0,0
0,0,0,0,0,0,0.994356,0,0
0,0,0,0,0,0,0.991127,0,0
0,0,0,0,0,0,0.987747,0,0
0,0,0,0,0,0,0.984349,0,0
0,0,0,0,0,0,0.986037,0,0
